#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084770.1-p1      -           3060 142at5820            -           2479         0 5359.1 107.1   1   5  3.1e-269  7.5e-267  886.9   6.3     2   392    52   442    51   455 0.98 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084770.1-p1      -           3060 142at5820            -           2479         0 5359.1 107.1   2   5         0         0 2294.8  10.7   375  1393   462  1567   453  1573 0.98 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084770.1-p1      -           3060 142at5820            -           2479         0 5359.1 107.1   3   5   2.2e-07   5.2e-05   18.3  12.0  1366  1445  1574  1661  1564  1664 0.63 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084770.1-p1      -           3060 142at5820            -           2479         0 5359.1 107.1   4   5         0         0 1942.6  14.3  1430  2333  1757  2817  1727  2839 0.95 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084770.1-p1      -           3060 142at5820            -           2479         0 5359.1 107.1   5   5   5.5e-79   1.3e-76  255.8   2.1  2337  2479  2914  3060  2902  3060 0.94 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_192290-t26_1-p1  -            272 142at5820            -           2479   2.7e-05   19.2   0.0   1   1   1.1e-07   2.8e-05   19.2   0.0  2093  2187    40   136    30   239 0.80 | transcript=PVX_192290-t26_1 | gene=PVX_192290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001632:99-915(+) | protein_length=272 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_191290-t26_1-p1  -            289 142at5820            -           2479     3e-05   19.1   0.0   1   1   1.3e-07   3.1e-05   19.1   0.0  2093  2187    40   136    30   239 0.80 | transcript=PVX_191290-t26_1 | gene=PVX_191290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001456:98-964(+) | protein_length=289 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_101610.1-p1      -            307 142at5820            -           2479   9.6e-05   17.4   9.7   1   1   4.7e-07   0.00011   17.2   9.7  1392  1484   102   192    40   204 0.63 | transcript=PVX_101610.1 | gene=PVX_101610 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr14:3093047-3094106(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085495.1-p1      -            490 142at5820            -           2479   0.00018   16.6  32.3   1   2   7.3e-07   0.00018   16.6  32.3  1375  1484    79   181    69   221 0.47 | transcript=PVX_085495.1 | gene=PVX_085495 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1212811-1214283(-) | protein_length=490 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085495.1-p1      -            490 142at5820            -           2479   0.00018   16.6  32.3   2   2       5.4   1.3e+03   -6.2   6.5  1395  1418   389   412   299   447 0.53 | transcript=PVX_085495.1 | gene=PVX_085495 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1212811-1214283(-) | protein_length=490 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 142at5820            -           2479    0.0023   12.9  15.9   1   1   1.3e-05    0.0031   12.4  15.9  1386  1514    33   172    18   183 0.52 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116790.1-p1      -            589 142at5820            -           2479     0.016   10.0  16.5   1   1   8.8e-05     0.021    9.7  16.5  1401  1474   292   364   261   466 0.73 | transcript=PVX_116790.1 | gene=PVX_116790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1298424-1300193(-) | protein_length=589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
