#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092880.1-p1      -            783 4072at5820           -            548    8e-295  976.7  56.8   1   2  1.9e-172  7.6e-170  564.2  35.5     4   324   182   508   180   513 0.98 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 4072at5820           -            548    8e-295  976.7  56.8   2   2  2.8e-128  1.1e-125  418.4  13.2   325   548   552   781   549   781 0.97 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 4072at5820           -            548   2.2e-51  173.2  78.7   1   4     4e-10   1.6e-07   28.4  29.8    59   432    86   489    47   498 0.70 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 4072at5820           -            548   2.2e-51  173.2  78.7   2   4   2.7e-23   1.1e-20   71.9   2.0   434   542   547   655   524   659 0.90 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 4072at5820           -            548   2.2e-51  173.2  78.7   3   4     0.029        11    2.5  22.9    25   389   814  1226   806  1247 0.68 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 4072at5820           -            548   2.2e-51  173.2  78.7   4   4   1.9e-27   7.4e-25   85.6   1.3   379   541  1271  1431  1250  1436 0.94 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 4072at5820           -            548   1.9e-44  150.3  27.0   1   1   4.7e-47   1.9e-44  150.3  27.0    28   545   360   906   331   909 0.83 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119255.1-p1      -           1364 4072at5820           -            548   2.3e-41  140.1  86.2   1   3   2.5e-21   9.8e-19   65.4  43.4     4   326   187   519   171   524 0.78 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119255.1-p1      -           1364 4072at5820           -            548   2.3e-41  140.1  86.2   2   3   5.2e-07   0.00021   18.1  20.5   275   426   959  1118   954  1125 0.81 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119255.1-p1      -           1364 4072at5820           -            548   2.3e-41  140.1  86.2   3   3   4.6e-22   1.8e-19   67.8   6.3   435   545  1235  1341  1207  1344 0.92 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083495.1-p1      -            998 4072at5820           -            548   7.6e-34  115.3  65.0   1   2   0.00018     0.071    9.7  41.3    24   252   329   579   300   604 0.60 | transcript=PVX_083495.1 | gene=PVX_083495 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=Pv_Sal1_chr12:75466-78462(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
