#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099420.1-p1      -            263 12224at5820          -            192   1.3e-91  304.3  16.2   1   2   0.00017      0.11   10.9   0.2     1    41     1    41     1    47 0.83 | transcript=PVX_099420.1 | gene=PVX_099420 | organism=Plasmodium_vivax_Sal-1 | gene_product=co-chaperone Hsc20, putative | transcript_product=co-chaperone Hsc20, putative | location=Pv_Sal1_chr07:760908-763062(-) | protein_length=263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099420.1-p1      -            263 12224at5820          -            192   1.3e-91  304.3  16.2   2   2   3.4e-92   2.4e-89  297.0  10.6    13   192    68   263    58   263 0.95 | transcript=PVX_099420.1 | gene=PVX_099420 | organism=Plasmodium_vivax_Sal-1 | gene_product=co-chaperone Hsc20, putative | transcript_product=co-chaperone Hsc20, putative | location=Pv_Sal1_chr07:760908-763062(-) | protein_length=263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 12224at5820          -            192   0.00013   20.5   1.4   1   1   4.8e-07   0.00033   19.2   1.4    43   107    55   115    34   138 0.86 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 12224at5820          -            192   0.00057   18.4   0.5   1   1   1.4e-06     0.001   17.7   0.5    45   110     6    71     3    75 0.90 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 12224at5820          -            192   0.00099   17.7   1.1   1   1   4.2e-06    0.0029   16.1   1.1    46   113    56   120    47   132 0.76 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119260.1-p1      -            152 12224at5820          -            192     0.001   17.6   0.2   1   1   2.1e-06    0.0014   17.1   0.2    90   155    51   119    30   130 0.83 | transcript=PVX_119260.1 | gene=PVX_119260 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1614895-1615753(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 12224at5820          -            192    0.0076   14.8   1.5   1   1   1.7e-05     0.012   14.2   1.5    44   112     7    73     2   102 0.77 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082455.1-p1      -            254 12224at5820          -            192    0.0093   14.5   0.2   1   1   2.2e-05     0.015   13.8   0.2    44   107    44   105    24   109 0.78 | transcript=PVX_082455.1 | gene=PVX_082455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:901027-902604(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 12224at5820          -            192      0.19   10.2   8.1   1   1   0.00045      0.31    9.5   8.1    58   174   100   216    79   226 0.73 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12224at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12224at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12224at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:13 2026
# [ok]
