#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098940.1-p1      -           1072 2890at5820           -            563  5.9e-247  819.0  38.4   1   5   3.4e-21   6.3e-18   62.9   1.2     1    69     1    92     1    96 0.74 | transcript=PVX_098940.1 | gene=PVX_098940 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr07:373691-376909(-) | protein_length=1072 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098940.1-p1      -           1072 2890at5820           -            563  5.9e-247  819.0  38.4   2   5   5.8e-07    0.0011   15.9   0.0    67    91   113   138   105   147 0.85 | transcript=PVX_098940.1 | gene=PVX_098940 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr07:373691-376909(-) | protein_length=1072 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098940.1-p1      -           1072 2890at5820           -            563  5.9e-247  819.0  38.4   3   5   3.3e-45   6.2e-42  142.2   1.2    97   190   361   455   353   463 0.95 | transcript=PVX_098940.1 | gene=PVX_098940 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr07:373691-376909(-) | protein_length=1072 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098940.1-p1      -           1072 2890at5820           -            563  5.9e-247  819.0  38.4   4   5   1.1e-80   2.1e-77  259.3   2.9   185   333   525   671   518   682 0.93 | transcript=PVX_098940.1 | gene=PVX_098940 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr07:373691-376909(-) | protein_length=1072 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098940.1-p1      -           1072 2890at5820           -            563  5.9e-247  819.0  38.4   5   5  3.2e-110  5.9e-107  356.8   7.9   341   563   831  1066   826  1066 0.95 | transcript=PVX_098940.1 | gene=PVX_098940 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr07:373691-376909(-) | protein_length=1072 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091400.1-p1      -            789 2890at5820           -            563   4.6e-15   53.4  15.3   1   2   3.7e-07   0.00068   16.6   0.5   110   183   341   416   315   440 0.73 | transcript=PVX_091400.1 | gene=PVX_091400 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr09:487594-491105(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091400.1-p1      -            789 2890at5820           -            563   4.6e-15   53.4  15.3   2   2   1.6e-14     3e-11   40.8   8.6   217   337   491   614   453   762 0.68 | transcript=PVX_091400.1 | gene=PVX_091400 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr09:487594-491105(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 2890at5820           -            563   4.7e-06   23.7   0.4   1   2   2.5e-09   4.7e-06   23.7   0.4   236   347   455   569   442   636 0.76 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 2890at5820           -            563   4.7e-06   23.7   0.4   2   2      0.34   6.4e+02   -3.1   0.1   447   482   830   864   826   881 0.75 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2890at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:22 2026
# [ok]
