#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111040.1-p1      -            470 5771at5820           -            379  6.8e-235  776.9  18.7   1   2  5.7e-130  2.3e-127  423.0   7.2     1   201     2   213     2   219 0.96 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 5771at5820           -            379  6.8e-235  776.9  18.7   2   2  1.2e-110  4.7e-108  359.4   3.7   201   379   259   450   242   450 0.93 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 5771at5820           -            379   9.1e-16   55.6   0.0   1   1   2.7e-18     1e-15   55.4   0.0    48   195    10   154     2   178 0.87 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 5771at5820           -            379     3e-13   47.4   2.0   1   2     2e-08   7.7e-06   23.0   0.2   128   201  1017  1091  1005  1105 0.90 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 5771at5820           -            379     3e-13   47.4   2.0   2   2   1.2e-08   4.9e-06   23.6   0.1    82   170  1113  1202  1102  1231 0.89 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 5771at5820           -            379   3.1e-13   47.3   0.3   1   3   5.4e-07   0.00021   18.2   0.0    65   176   370   480   345   485 0.86 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 5771at5820           -            379   3.1e-13   47.3   0.3   2   3   7.6e-11     3e-08   30.9   0.0    84   200   421   540   415   563 0.55 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 5771at5820           -            379   3.1e-13   47.3   0.3   3   3   0.00019     0.074    9.9   0.1   116   176   588   649   573   662 0.80 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118655.1-p1      -            763 5771at5820           -            379   1.2e-10   38.8   3.2   1   1   6.3e-13   2.5e-10   37.8   3.2   279   348    41   111    15   132 0.85 | transcript=PVX_118655.1 | gene=PVX_118655 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr12:2947745-2950036(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 5771at5820           -            379   5.4e-09   33.4   1.5   1   2   0.00012     0.046   10.5   0.1   100   175    34   110     8   147 0.64 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 5771at5820           -            379   5.4e-09   33.4   1.5   2   2   5.6e-08   2.2e-05   21.5   0.2    81   168   158   248   149   265 0.88 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123350.1-p1      -           1087 5771at5820           -            379   8.3e-08   29.4   3.2   1   2   2.1e-10   8.3e-08   29.4   3.2   253   335   498   581   483   624 0.89 | transcript=PVX_123350.1 | gene=PVX_123350 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr14:1377761-1381024(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
