#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099785.1-p1      -            156 13418at5820          -            141   6.3e-81  267.8   0.6   1   1   5.3e-84   7.3e-81  267.6   0.6     1   141     7   156     7   156 0.95 | transcript=PVX_099785.1 | gene=PVX_099785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr07:1041058-1041751(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082770.1-p1      -            378 13418at5820          -            141   3.3e-07   28.9   5.4   1   3      0.68   9.3e+02   -1.8   0.2    83   106    66    87    41    95 0.75 | transcript=PVX_082770.1 | gene=PVX_082770 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr12:707978-709114(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082770.1-p1      -            378 13418at5820          -            141   3.3e-07   28.9   5.4   2   3   2.4e-10   3.3e-07   28.9   5.4    11    95   208   298   200   313 0.84 | transcript=PVX_082770.1 | gene=PVX_082770 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr12:707978-709114(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082770.1-p1      -            378 13418at5820          -            141   3.3e-07   28.9   5.4   3   3   0.00071      0.99    7.9   0.5    92   127   330   366   317   377 0.81 | transcript=PVX_082770.1 | gene=PVX_082770 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr12:707978-709114(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099425.1-p1      -            965 13418at5820          -            141   2.3e-05   22.9   0.1   1   2   1.3e-07   0.00018   20.0   0.1    10    85    92   172    83   216 0.82 | transcript=PVX_099425.1 | gene=PVX_099425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:763795-766692(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099425.1-p1      -            965 13418at5820          -            141   2.3e-05   22.9   0.1   2   2      0.85   1.2e+03   -2.1   0.0    91   123   337   366   293   371 0.75 | transcript=PVX_099425.1 | gene=PVX_099425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:763795-766692(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118055.1-p1      -            321 13418at5820          -            141    0.0095   14.4   1.2   1   3     0.046        63    2.0   0.0    83   122    49    88    43   102 0.78 | transcript=PVX_118055.1 | gene=PVX_118055 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2369022-2369987(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118055.1-p1      -            321 13418at5820          -            141    0.0095   14.4   1.2   2   3   0.00012      0.17   10.4   0.0    11    28   125   142   113   179 0.74 | transcript=PVX_118055.1 | gene=PVX_118055 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2369022-2369987(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118055.1-p1      -            321 13418at5820          -            141    0.0095   14.4   1.2   3   3      0.87   1.2e+03   -2.1   0.1   114   125   229   240   198   258 0.62 | transcript=PVX_118055.1 | gene=PVX_118055 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2369022-2369987(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13418at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13418at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13418at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:11 2026
# [ok]
