#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117215.1-p1      -            702 3507at5820           -            595         0 1300.5  28.7   1   2   2.2e-40   5.5e-38  129.0   8.8     9    79    42   117    36   124 0.93 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 3507at5820           -            595         0 1300.5  28.7   2   2         0         0 1177.5  11.9    79   595   178   702   157   702 0.98 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 3507at5820           -            595    7e-110  366.4   0.1   1   1  2.8e-112    7e-110  366.4   0.1   141   570   159   601   148   608 0.91 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 3507at5820           -            595  1.2e-107  359.1   0.4   1   2   1.7e-53   4.3e-51  172.3   0.1   140   371   473   705   467   724 0.96 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 3507at5820           -            595  1.2e-107  359.1   0.4   2   2   2.7e-57   6.9e-55  184.8   0.0   139   357   792  1012   768  1024 0.93 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 3507at5820           -            595   6.2e-97  323.7   0.0   1   2   1.9e-48   4.9e-46  155.6   0.0   140   371   204   436   199   452 0.96 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 3507at5820           -            595   6.2e-97  323.7   0.0   2   2   1.4e-51   3.5e-49  166.0   0.0   132   371   471   712   450   759 0.88 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091615.1-p1      -            950 3507at5820           -            595   9.7e-95  316.4   0.0   1   1   6.5e-97   1.6e-94  315.7   0.0   138   567   397   842   326   861 0.86 | transcript=PVX_091615.1 | gene=PVX_091615 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr09:647681-650533(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 3507at5820           -            595   1.2e-57  193.9   7.1   1   3   0.00014     0.035   10.8   0.1   145   199   351   406   338   425 0.76 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 3507at5820           -            595   1.2e-57  193.9   7.1   2   3   1.1e-16   2.7e-14   50.8   0.9   224   356   484   619   476   630 0.82 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 3507at5820           -            595   1.2e-57  193.9   7.1   3   3     5e-42   1.3e-39  134.4   0.1   133   321   769   958   756   969 0.93 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
