#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003900.1-p1      -           2215 252at5820            -           1874         0 3094.2  74.2   1   1         0         0 3090.4  74.2     8  1874     7  2207     1  2207 0.93 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 252at5820            -           1874   4.3e-76  254.4 107.0   1   7   9.4e-15     1e-11   40.9  29.2   883  1403   270   838   262   843 0.66 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 252at5820            -           1874   4.3e-76  254.4 107.0   2   7   3.7e-18   4.1e-15   52.2  32.6   546  1142   577  1210   562  1216 0.72 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 252at5820            -           1874   4.3e-76  254.4 107.0   3   7    0.0028       3.1    2.9   0.1   550   597  1368  1417  1311  1440 0.74 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 252at5820            -           1874   4.3e-76  254.4 107.0   4   7   3.1e-17   3.4e-14   49.2   6.4   938  1160  1464  1687  1448  1716 0.77 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 252at5820            -           1874   4.3e-76  254.4 107.0   5   7   2.6e-07   0.00029   16.3   0.1   383  1789  1803  1900  1765  1909 0.54 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 252at5820            -           1874   4.3e-76  254.4 107.0   6   7   4.5e-23     5e-20   68.5  16.9   939  1177  2202  2464  2090  2520 0.73 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 252at5820            -           1874   4.3e-76  254.4 107.0   7   7   1.1e-17   1.3e-14   50.6   7.0  1631  1851  2486  2717  2463  2736 0.68 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 252at5820            -           1874   1.2e-14   50.7   0.1   1   3     0.001       1.1    4.3   0.0  1509  1606    61   151    54   163 0.70 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 252at5820            -           1874   1.2e-14   50.7   0.1   2   3   4.4e-09   4.8e-06   22.1   0.1  1666  1736   152   220   147   228 0.79 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 252at5820            -           1874   1.2e-14   50.7   0.1   3   3   7.9e-09   8.8e-06   21.3   0.0  1755  1839   306   393   300   411 0.80 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 252at5820            -           1874   1.5e-08   30.5   5.5   1   2    0.0096        11    1.1   0.5  1784  1841    81   140    65   151 0.67 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 252at5820            -           1874   1.5e-08   30.5   5.5   2   2   1.3e-11   1.5e-08   30.5   5.5  1015  1156   145   304   138   310 0.72 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 252at5820            -           1874   1.7e-08   30.3  13.2   1   2   0.00019      0.21    6.8   2.2  1032  1115    28   110    22   129 0.47 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 252at5820            -           1874   1.7e-08   30.3  13.2   2   2     1e-10   1.2e-07   27.5   3.1  1340  1468   179   302   159   324 0.72 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/252at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/252at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/252at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:35 2026
# [ok]
