#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082575.1-p1      -           1206 1152at5820           -            961         0 1850.6  56.1   1   3  1.2e-143  1.1e-140  468.9   9.2     1   214    68   283    68   286 0.99 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 1152at5820           -            961         0 1850.6  56.1   2   3         0         0 1086.5  23.0   213   748   328   910   322   922 0.95 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 1152at5820           -            961         0 1850.6  56.1   3   3   3.5e-94   3.2e-91  305.2   7.9   747   961   935  1174   932  1174 0.94 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1152at5820           -            961   6.9e-37  125.3  10.6   1   1   1.2e-36   1.1e-33  114.7  10.6     9   606    46   639    39   663 0.79 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1152at5820           -            961   1.8e-19   67.7  29.5   1   7   2.4e-12   2.2e-09   34.3   0.2    33    97   218   283   185   291 0.84 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1152at5820           -            961   1.8e-19   67.7  29.5   2   7      0.13   1.2e+02   -1.2   0.9   114   397   372   449   363   465 0.66 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1152at5820           -            961   1.8e-19   67.7  29.5   3   7    0.0014       1.3    5.3   0.2   213   326   523   650   517   657 0.65 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1152at5820           -            961   1.8e-19   67.7  29.5   4   7   8.3e-09   7.6e-06   22.6   0.4   380   456   813   891   790   895 0.81 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1152at5820           -            961   1.8e-19   67.7  29.5   5   7     0.031        29    0.8   0.0   539   560  1051  1072  1039  1078 0.81 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1152at5820           -            961   1.8e-19   67.7  29.5   6   7      0.97     9e+02   -4.1   0.0   568   596  1149  1177  1147  1181 0.87 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1152at5820           -            961   1.8e-19   67.7  29.5   7   7   1.1e-08   9.8e-06   22.2   0.5   583   747  1211  1397  1207  1413 0.76 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1152at5820           -            961   8.5e-15   52.2  10.3   1   2    0.0001     0.094    9.1   0.5     5    95   185   281   179   294 0.69 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1152at5820           -            961   8.5e-15   52.2  10.3   2   2   4.6e-16   4.2e-13   46.6   3.8   536   762   464   704   437   762 0.78 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1152at5820           -            961   6.8e-08   29.4  13.4   1   3   3.4e-06    0.0031   14.0   6.3    34   190   151   291   144   300 0.84 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1152at5820           -            961   6.8e-08   29.4  13.4   2   3    0.0014       1.3    5.3   0.0   438   456   602   620   589   624 0.88 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1152at5820           -            961   6.8e-08   29.4  13.4   3   3     2e-05     0.018   11.4   0.1   582   633   917   967   909   979 0.80 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 1152at5820           -            961   6.1e-07   26.2   9.4   1   3    0.0058       5.3    3.3   3.5    44   114   171   249   157   332 0.68 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 1152at5820           -            961   6.1e-07   26.2   9.4   2   3    0.0027       2.5    4.3   0.0   422   455   345   379   322   411 0.79 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 1152at5820           -            961   6.1e-07   26.2   9.4   3   3   1.1e-07   9.8e-05   18.9   0.1   548   618   511   577   482   599 0.75 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1152at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1152at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1152at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:24 2026
# [ok]
