#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085203.1-p1      -           1370 12237at5820          -            645  2.1e-203  675.9  29.4   1   9   2.8e-16   1.6e-12   45.3   0.1    10    52   410   452   402   461 0.87 | transcript=PVX_085203.1 | gene=PVX_085203 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1007144-1011256(+) | protein_length=1370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085203.1-p1      -           1370 12237at5820          -            645  2.1e-203  675.9  29.4   2   9   3.3e-49   1.8e-45  154.1   6.5    58   190   485   648   482   651 0.84 | transcript=PVX_085203.1 | gene=PVX_085203 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1007144-1011256(+) | protein_length=1370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085203.1-p1      -           1370 12237at5820          -            645  2.1e-203  675.9  29.4   3   9     3e-26   1.7e-22   78.2   0.0   190   262   691   764   688   768 0.94 | transcript=PVX_085203.1 | gene=PVX_085203 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1007144-1011256(+) | protein_length=1370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085203.1-p1      -           1370 12237at5820          -            645  2.1e-203  675.9  29.4   4   9   1.4e-15   7.8e-12   43.0   3.6   258   306   791   840   782   846 0.87 | transcript=PVX_085203.1 | gene=PVX_085203 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1007144-1011256(+) | protein_length=1370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085203.1-p1      -           1370 12237at5820          -            645  2.1e-203  675.9  29.4   5   9   1.6e-07   0.00087   16.4   0.0   307   337   872   903   867   923 0.90 | transcript=PVX_085203.1 | gene=PVX_085203 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1007144-1011256(+) | protein_length=1370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085203.1-p1      -           1370 12237at5820          -            645  2.1e-203  675.9  29.4   6   9     0.039   2.1e+02   -1.4   0.0   336   352   935   951   932   956 0.87 | transcript=PVX_085203.1 | gene=PVX_085203 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1007144-1011256(+) | protein_length=1370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085203.1-p1      -           1370 12237at5820          -            645  2.1e-203  675.9  29.4   7   9     2e-20   1.1e-16   59.0   0.0   356   424  1001  1075   991  1081 0.84 | transcript=PVX_085203.1 | gene=PVX_085203 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1007144-1011256(+) | protein_length=1370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085203.1-p1      -           1370 12237at5820          -            645  2.1e-203  675.9  29.4   8   9   3.8e-81   2.1e-77  259.6   0.1   428   620  1108  1317  1100  1319 0.90 | transcript=PVX_085203.1 | gene=PVX_085203 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1007144-1011256(+) | protein_length=1370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085203.1-p1      -           1370 12237at5820          -            645  2.1e-203  675.9  29.4   9   9     2e-09   1.1e-05   22.7   0.0   620   644  1342  1366  1340  1367 0.93 | transcript=PVX_085203.1 | gene=PVX_085203 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1007144-1011256(+) | protein_length=1370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12237at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12237at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12237at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:18 2026
# [ok]
