#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002700.1-p1      -            862 3691at5820           -            651         0 1175.5 104.2   1   3  1.1e-180    2e-177  590.2  36.7     1   286     1   289     1   296 0.99 | transcript=PVX_002700.1 | gene=PVX_002700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:196220-198808(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002700.1-p1      -            862 3691at5820           -            651         0 1175.5 104.2   2   3  3.5e-123  6.4e-120  400.2  31.6   286   510   410   646   404   662 0.95 | transcript=PVX_002700.1 | gene=PVX_002700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:196220-198808(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002700.1-p1      -            862 3691at5820           -            651         0 1175.5 104.2   3   3   6.9e-60   1.3e-56  191.1  19.0   497   651   671   862   650   862 0.81 | transcript=PVX_002700.1 | gene=PVX_002700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:196220-198808(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 3691at5820           -            651   1.5e-06   25.7  35.0   1   5    0.0048       8.9    3.3   1.3    28    87    24    77     2    82 0.58 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 3691at5820           -            651   1.5e-06   25.7  35.0   2   5      0.34   6.2e+02   -2.8  10.4   355   419   119   184   110   195 0.85 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 3691at5820           -            651   1.5e-06   25.7  35.0   3   5     0.033        61    0.5   0.0   175   207   220   252   206   260 0.86 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 3691at5820           -            651   1.5e-06   25.7  35.0   4   5   0.00018      0.34    8.0   0.3   211   271   372   432   367   441 0.82 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 3691at5820           -            651   1.5e-06   25.7  35.0   5   5   8.1e-10   1.5e-06   25.7  35.0   303   624   556   898   534   903 0.76 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099640.1-p1      -           1239 3691at5820           -            651   0.00072   16.8   4.3   1   5   6.8e-05      0.13    9.4   6.0    11    86    10    89     3   101 0.80 | transcript=PVX_099640.1 | gene=PVX_099640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:933425-937628(-) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099640.1-p1      -           1239 3691at5820           -            651   0.00072   16.8   4.3   2   5     0.072   1.3e+02   -0.6  14.1   100   200   131   235   125   245 0.70 | transcript=PVX_099640.1 | gene=PVX_099640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:933425-937628(-) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099640.1-p1      -           1239 3691at5820           -            651   0.00072   16.8   4.3   3   5   3.9e-07   0.00072   16.8   4.3   210   290   499   577   485   583 0.80 | transcript=PVX_099640.1 | gene=PVX_099640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:933425-937628(-) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
