#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083250.1-p1      -            363 7201at5820           -            178  1.9e-104  345.0   8.5   1   1  1.8e-106    1e-103  342.6   8.5     1   178    88   289    88   289 0.93 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 7201at5820           -            178   7.3e-08   30.4   0.9   1   3    0.0012      0.67    7.7   0.1    22    60   151   189   135   198 0.84 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 7201at5820           -            178   7.3e-08   30.4   0.9   2   3   1.1e-06    0.0006   17.7   0.4     2    98   227   330   226   374 0.77 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 7201at5820           -            178   7.3e-08   30.4   0.9   3   3      0.19     1e+02    0.6   0.0    21    73   393   446   378   447 0.79 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 7201at5820           -            178   8.8e-06   23.6   1.4   1   4     0.014       7.9    4.2   0.0    22    56   282   315   271   320 0.70 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 7201at5820           -            178   8.8e-06   23.6   1.4   2   4   2.2e-06    0.0012   16.6   0.3     2    62   306   364   305   376 0.85 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 7201at5820           -            178   8.8e-06   23.6   1.4   3   4      0.71   3.9e+02   -1.3   0.0    37    58   381   402   373   413 0.79 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 7201at5820           -            178   8.8e-06   23.6   1.4   4   4     0.052        29    2.4   0.0    35    56   430   451   417   486 0.83 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079930.1-p1      -            329 7201at5820           -            178   0.00018   19.3   6.3   1   2   4.2e-05     0.023   12.5   1.1     1    67    38   105    38   140 0.67 | transcript=PVX_079930.1 | gene=PVX_079930 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr10:224509-225498(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079930.1-p1      -            329 7201at5820           -            178   0.00018   19.3   6.3   2   2   0.00048      0.26    9.0   0.2   116   142   201   227   109   247 0.67 | transcript=PVX_079930.1 | gene=PVX_079930 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr10:224509-225498(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114625.1-p1      -            513 7201at5820           -            178   0.00026   18.9   4.3   1   4     0.029        16    3.2   0.1   119   142   199   222   131   238 0.89 | transcript=PVX_114625.1 | gene=PVX_114625 | organism=Plasmodium_vivax_Sal-1 | gene_product=microtubule-associated protein ytm1 homologue, putative | transcript_product=microtubule-associated protein ytm1 homologue, putative | location=Pv_Sal1_chr11:759675-761216(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
