#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4   1  10   2.1e-44   1.1e-40  137.8   2.4     1   147     5   183     5   189 0.85 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4   2  10   3.4e-34   1.9e-30  103.9  19.5   145   238   212   309   204   314 0.92 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4   3  10   9.7e-28   5.3e-24   82.6   0.1   236   316   416   505   414   509 0.84 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4   4  10   1.7e-52   9.2e-49  164.6   0.1   316   469   542   746   536   748 0.81 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4   5  10   2.3e-10   1.3e-06   25.0   0.1   468   506   819   858   816   869 0.86 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4   6  10     1e-18   5.7e-15   52.7   0.4   497   553   873   933   862   935 0.88 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4   7  10   8.5e-32   4.7e-28   96.0   3.1   549   613   951  1015   947  1025 0.95 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4   8  10     1e-53   5.7e-50  168.6   6.2   612   736  1092  1222  1089  1225 0.94 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4   9  10   4.4e-11   2.4e-07   27.4   9.4   736   793  1264  1342  1257  1349 0.73 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081580.1-p1      -           1684 1391at5820           -           1077         0 1291.0 117.4  10  10    1e-144  5.7e-141  469.9  18.9   784  1076  1363  1664  1358  1665 0.95 | transcript=PVX_081580.1 | gene=PVX_081580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:457179-463359(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
