#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2   1  12  5.4e-142    3e-138  460.7  15.5     1   241     1   245     1   250 0.96 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2   2  12   3.1e-42   1.7e-38  130.3   4.4   229   317   290   386   287   394 0.90 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2   3  12   3.5e-10     2e-06   24.2   7.4   294   350   415   469   412   473 0.81 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2   4  12   1.4e-05     0.079    8.9   0.0   348   381   531   570   526   600 0.78 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2   5  12   8.7e-19   4.8e-15   52.7   0.5   379   430   621   675   611   679 0.89 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2   6  12   5.8e-24   3.2e-20   69.8   7.5   424   471   725   772   716   789 0.90 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2   7  12   5.1e-30   2.8e-26   89.9   1.1   470   529   828   887   824   890 0.96 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2   8  12     6e-74   3.3e-70  235.4  17.6   522   647  1082  1207  1074  1251 0.86 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2   9  12   0.00034       1.9    4.4   0.7   633   661  1245  1271  1219  1283 0.70 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2  10  12  1.8e-114  9.8e-111  369.6   6.4   675   888  1382  1612  1368  1620 0.93 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085195.1-p1      -           2105 1013at5820           -           1120         0 1723.0 160.2  11  12   4.9e-63   2.7e-59  199.2  25.9   882  1039  1798  1978  1785  2005 0.85 | transcript=PVX_085195.1 | gene=PVX_085195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:991776-998324(-) | protein_length=2105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
