#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123705.1-p1      -            567 6193at5820           -            407  1.8e-217  720.6  62.9   1   3   1.4e-10   1.1e-07   29.6   1.4     6    37     8    42     3    57 0.79 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123705.1-p1      -            567 6193at5820           -            407  1.8e-217  720.6  62.9   2   3  5.2e-143  4.1e-140  465.7  41.9    36   255    88   311    67   367 0.93 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123705.1-p1      -            567 6193at5820           -            407  1.8e-217  720.6  62.9   3   3     1e-71   8.1e-69  230.9   5.7   263   407   375   566   349   566 0.84 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 6193at5820           -            407   1.3e-07   29.4  31.9   1   3   1.6e-10   1.3e-07   29.4  31.9   123   221    96   188    88   191 0.85 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 6193at5820           -            407   1.3e-07   29.4  31.9   2   3   5.5e-05     0.044   11.2  18.5   164   218   187   239   186   260 0.85 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 6193at5820           -            407   1.3e-07   29.4  31.9   3   3         7   5.5e+03   -9.0  13.1   136   221   251   336   241   451 0.63 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079955.1-p1      -            301 6193at5820           -            407   2.3e-07   28.6  35.1   1   1   6.7e-10   5.3e-07   27.4  35.1   105   303    30   225    22   252 0.73 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 6193at5820           -            407   8.3e-05   20.1  34.9   1   1   1.3e-06     0.001   16.6  35.0   110   214    51   157    36   164 0.79 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 6193at5820           -            407   0.00022   18.8  30.3   1   3   0.00083      0.66    7.3   5.7   121   149    48    76    34    78 0.81 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 6193at5820           -            407   0.00022   18.8  30.3   2   3   2.7e-07   0.00022   18.8  30.3   112   214    53   157    52   164 0.79 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 6193at5820           -            407   0.00022   18.8  30.3   3   3       1.9   1.5e+03   -3.8   1.4   273   304   203   234   179   240 0.42 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 6193at5820           -            407    0.0011   16.4  34.0   1   3   0.00066      0.53    7.6   5.5   121   149    48    76    32    78 0.80 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 6193at5820           -            407    0.0011   16.4  34.0   2   3   1.4e-06    0.0011   16.4  34.0   111   215    52   158    43   166 0.79 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 6193at5820           -            407    0.0011   16.4  34.0   3   3       1.8   1.4e+03   -3.7   1.4   273   304   203   234   179   240 0.42 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124085.1-p1      -           2011 6193at5820           -            407     0.047   11.1   2.5   1   1   0.00011     0.089   10.2   2.5   120   170  1666  1715  1660  1730 0.89 | transcript=PVX_124085.1 | gene=PVX_124085 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=Pv_Sal1_chr14:2042042-2048077(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6193at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6193at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6193at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:26 2026
# [ok]
