#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0   1  25   2.8e-80   1.5e-76  255.8  18.8     1   167    15   183    15   197 0.97 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0   2  25   4.5e-79   2.5e-75  251.8   9.7   167   337   241   428   235   435 0.91 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0   3  25   4.7e-63   2.6e-59  198.6   8.4   336   464   580   721   569   727 0.88 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0   4  25   3.4e-48   1.9e-44  149.4   1.2   467   560   762   855   744   859 0.94 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0   5  25   2.8e-37   1.6e-33  113.1   0.7   560   627   924   991   919   995 0.96 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0   6  25   4.8e-71   2.6e-67  225.2   1.2   617   749  1015  1147  1010  1161 0.94 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0   7  25   2.7e-31   1.5e-27   93.3   0.9   756   845  1220  1329  1217  1335 0.81 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0   8  25   1.4e-98   7.7e-95  316.6  14.7   847  1048  1392  1605  1361  1609 0.93 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0   9  25  7.7e-111  4.3e-107  357.2  15.6  1048  1260  1652  1869  1649  1874 0.96 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  10  25   5.1e-10   2.8e-06   22.7   0.4  1258  1287  1910  1939  1898  1948 0.89 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  11  25   1.6e-79   8.8e-76  253.3   6.8  1279  1428  2022  2171  2015  2189 0.93 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  12  25  3.2e-133  1.8e-129  431.5   0.6  1446  1699  2842  3120  2836  3126 0.92 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  13  25   1.2e-73   6.5e-70  233.8   9.1  1699  1826  3166  3293  3162  3307 0.98 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  14  25     0.015        83   -2.1   0.0  1826  1843  3320  3337  3317  3339 0.90 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  15  25   1.1e-63   6.1e-60  200.7  13.3  1843  1970  3509  3649  3505  3656 0.90 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  16  25   1.1e-99   6.3e-96  320.2   7.7  1969  2178  3763  3993  3752  4000 0.92 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  17  25   6.5e-65   3.6e-61  204.8  10.7  2177  2300  4063  4186  4059  4193 0.95 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  18  25   4.3e-48   2.4e-44  149.0  18.0  2295  2391  4225  4336  4212  4347 0.92 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  19  25   8.3e-08   0.00046   15.3   0.3  2392  2416  4405  4429  4396  4434 0.92 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  20  25   3.5e-72   1.9e-68  229.0  22.7  2415  2545  4472  4602  4465  4608 0.96 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  21  25   8.6e-14   4.8e-10   35.2   0.1  2542  2582  4657  4697  4650  4699 0.93 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  22  25   5.2e-69   2.9e-65  218.4  13.0  2581  2706  4762  4902  4751  4904 0.92 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  23  25  6.6e-136  3.6e-132  440.4  30.9  2706  2945  4950  5200  4948  5203 0.94 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  24  25   5.9e-28   3.3e-24   82.2   0.8  2938  2995  5237  5294  5234  5302 0.94 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113610.1-p1      -           5807 90at5820             -           3291         0 5183.3 403.0  25  25  8.4e-159  4.6e-155  516.4  25.9  3000  3291  5480  5805  5474  5805 0.93 | transcript=PVX_113610.1 | gene=PVX_113610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1648195-1665618(-) | protein_length=5807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/90at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
