#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082915.1-p1      -            815 4282at5820           -            551  3.7e-277  918.8  38.6   1   4   2.6e-23   1.1e-20   72.2   0.0     6    54    58   106    52   111 0.94 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 4282at5820           -            551  3.7e-277  918.8  38.6   2   4  4.7e-139    2e-136  454.3  15.1    53   314   156   442   150   446 0.91 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 4282at5820           -            551  3.7e-277  918.8  38.6   3   4   2.6e-60   1.1e-57  194.4   1.5   310   421   476   590   475   596 0.96 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 4282at5820           -            551  3.7e-277  918.8  38.6   4   4   8.5e-65   3.6e-62  209.2   4.5   420   551   675   808   665   808 0.97 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 4282at5820           -            551   2.6e-46  156.8  54.3   1   5   6.4e-17   2.7e-14   51.1   3.4   314   419   382   488   325   499 0.90 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 4282at5820           -            551   2.6e-46  156.8  54.3   2   5   1.8e-13   7.8e-11   39.7   2.6   415   521   534   646   522   668 0.78 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 4282at5820           -            551   2.6e-46  156.8  54.3   3   5       1.2   5.1e+02   -2.6   5.0    39   201   843   999   809  1013 0.58 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 4282at5820           -            551   2.6e-46  156.8  54.3   4   5   5.2e-10   2.2e-07   28.3   0.2   307   375  1156  1224  1143  1235 0.92 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 4282at5820           -            551   2.6e-46  156.8  54.3   5   5   9.6e-24   4.1e-21   73.7   0.2   367   530  1271  1433  1262  1453 0.82 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 4282at5820           -            551     1e-41  141.7  29.3   1   3   4.2e-23   1.8e-20   71.6  14.5    11   312   217   533   209   578 0.76 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 4282at5820           -            551     1e-41  141.7  29.3   2   3   1.5e-15   6.6e-13   46.6   2.0   328   423   612   707   603   786 0.75 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
