#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083155.1-p1      -            157 13591at5820          -            132   1.8e-71  237.0   0.7   1   1   5.4e-74   2.5e-71  236.5   0.7     2   132    13   157    12   157 0.92 | transcript=PVX_083155.1 | gene=PVX_083155 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=Pv_Sal1_chr12:360977-362069(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 13591at5820          -            132   3.3e-12   45.3   0.1   1   2   1.9e-10   8.6e-08   31.0   0.0    37   109    39   114    15   120 0.82 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 13591at5820          -            132   3.3e-12   45.3   0.1   2   2   0.00018     0.083   11.6   0.0    48   108   374   436   361   442 0.82 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117605.1-p1      -            104 13591at5820          -            132   1.2e-11   43.5   0.1   1   1   2.8e-14   1.3e-11   43.4   0.1    40   112    13    84     6   102 0.89 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083515.1-p1      -            209 13591at5820          -            132   1.9e-10   39.5   0.1   1   1   7.5e-13   3.4e-10   38.7   0.1    49   117    49   117    25   130 0.88 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 13591at5820          -            132   2.9e-08   32.5   2.4   1   1   1.6e-10   7.6e-08   31.1   2.4    24   128   174   283   168   287 0.77 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099235.1-p1      -            179 13591at5820          -            132   4.6e-08   31.9   0.1   1   1   1.6e-10   7.4e-08   31.2   0.1    23   126    65   168    46   174 0.77 | transcript=PVX_099235.1 | gene=PVX_099235 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=Pv_Sal1_chr07:605542-606759(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 13591at5820          -            132   3.1e-07   29.2   4.8   1   3   1.1e-05     0.005   15.5   0.5    44   117    47   117    34   133 0.85 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 13591at5820          -            132   3.1e-07   29.2   4.8   2   3       3.2   1.5e+03   -2.2   0.0    77   105   139   169   131   185 0.59 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 13591at5820          -            132   3.1e-07   29.2   4.8   3   3   2.6e-05     0.012   14.3   0.0    45   103   184   244   169   274 0.89 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122745.1-p1      -            550 13591at5820          -            132   2.8e-06   26.1   1.5   1   2   1.5e-08   6.8e-06   24.8   0.3    41   111    60   136    45   146 0.85 | transcript=PVX_122745.1 | gene=PVX_122745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:832429-834081(+) | protein_length=550 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
