#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111500.1-p1      -            181 13164at5820          -            130   3.7e-74  245.5   3.0   1   1   1.5e-76   4.9e-74  245.1   3.0     8   130    57   181    53   181 0.97 | transcript=PVX_111500.1 | gene=PVX_111500 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr06:419973-420518(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101115.1-p1      -           1277 13164at5820          -            130     1e-08   33.9   1.8   1   3   3.1e-11     1e-08   33.9   1.8    31   102   156   227   148   236 0.95 | transcript=PVX_101115.1 | gene=PVX_101115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2649977-2653959(+) | protein_length=1277 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101115.1-p1      -           1277 13164at5820          -            130     1e-08   33.9   1.8   2   3        10   3.2e+03   -3.3   0.0    75   102   301   326   295   353 0.66 | transcript=PVX_101115.1 | gene=PVX_101115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2649977-2653959(+) | protein_length=1277 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101115.1-p1      -           1277 13164at5820          -            130     1e-08   33.9   1.8   3   3       3.7   1.2e+03   -1.9   0.1    53    53   965   965   937  1012 0.51 | transcript=PVX_101115.1 | gene=PVX_101115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2649977-2653959(+) | protein_length=1277 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 13164at5820          -            130   1.2e-07   30.4   4.9   1   5       2.6   8.4e+02   -1.4   1.4    23    68    37    89    30   127 0.56 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 13164at5820          -            130   1.2e-07   30.4   4.9   2   5      0.23        76    2.0   0.2     1    61   553   612   553   637 0.90 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 13164at5820          -            130   1.2e-07   30.4   4.9   3   5       4.1   1.3e+03   -2.1   0.0    35    54   722   742   705   783 0.55 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 13164at5820          -            130   1.2e-07   30.4   4.9   4   5     0.017       5.6    5.6   0.1    10    51   853   893   848   957 0.78 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 13164at5820          -            130   1.2e-07   30.4   4.9   5   5   3.7e-10   1.2e-07   30.4   4.9     5   111   964  1071   960  1079 0.83 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 13164at5820          -            130   1.5e-07   30.1   4.5   1   4     0.051        16    4.1   0.0    55    93    43    82    14    89 0.75 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 13164at5820          -            130   1.5e-07   30.1   4.5   2   4     0.044        14    4.3   0.1    66    94   142   170   116   182 0.78 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 13164at5820          -            130   1.5e-07   30.1   4.5   3   4   0.00017     0.056   12.1   0.3    24    95   190   258   172   263 0.81 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
