#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115175.1-p1      -           1127 2381at5820           -            857         0 1798.0  69.5   1   5     0.044        31    0.6   0.1     4    21    30    47    27    61 0.85 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 2381at5820           -            857         0 1798.0  69.5   2   5   1.3e-54   8.8e-52  174.4  10.9    10   121   157   274   148   281 0.91 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 2381at5820           -            857         0 1798.0  69.5   3   5   2.1e-34   1.4e-31  107.6   2.2   119   180   307   368   285   383 0.91 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 2381at5820           -            857         0 1798.0  69.5   4   5  8.4e-199  5.8e-196  651.4  15.3   179   475   393   694   381   698 0.98 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 2381at5820           -            857         0 1798.0  69.5   5   5  4.2e-269  2.9e-266  884.0  13.9   474   856   743  1125   732  1126 0.99 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 2381at5820           -            857  4.3e-201  668.4  11.0   1   2      0.21   1.4e+02   -1.6   0.0   247   297   257   311   242   326 0.80 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 2381at5820           -            857  4.3e-201  668.4  11.0   2   2  2.7e-202  1.9e-199  663.0  10.4   201   853   547  1181   378  1184 0.92 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 2381at5820           -            857  2.7e-166  553.3   1.7   1   1  4.7e-167  3.2e-164  546.4   1.7   205   853   181   819   164   823 0.92 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 2381at5820           -            857  1.3e-153  511.3  28.7   1   2   3.9e-72   2.7e-69  232.4  10.9   191   453   384   643   375   674 0.89 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 2381at5820           -            857  1.3e-153  511.3  28.7   2   2   9.2e-87   6.3e-84  280.8   9.7   493   854   719  1090   712  1093 0.92 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 2381at5820           -            857  8.2e-122  406.1  11.9   1   4   6.3e-53   4.3e-50  168.8   0.8   212   419     3   234     1   241 0.86 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
