#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087815.1-p1      -           2754 438at5820            -           1966         0 3057.8 225.6   1   5  2.5e-299  1.2e-296  986.0  41.6     1   634     1   874     1   904 0.85 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 438at5820            -           1966         0 3057.8 225.6   2   5         0         0 1187.2  82.1   657  1393   970  1901   928  1910 0.89 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 438at5820            -           1966         0 3057.8 225.6   3   5     2e-13     1e-10   37.9   8.8  1394  1472  1960  2074  1947  2102 0.75 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 438at5820            -           1966         0 3057.8 225.6   4   5   1.3e-10   6.5e-08   28.5  11.2  1468  1585  2126  2312  2096  2323 0.75 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 438at5820            -           1966         0 3057.8 225.6   5   5  2.7e-253  1.4e-250  833.3  50.2  1584  1966  2352  2752  2338  2752 0.92 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 438at5820            -           1966   8.2e-31  104.5  12.2   1   3   1.7e-13   8.5e-11   38.1   3.6   445   611   187   370    46   378 0.69 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 438at5820            -           1966   8.2e-31  104.5  12.2   2   3   7.4e-19   3.7e-16   55.9   0.0   669   864   378   614   372   623 0.79 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 438at5820            -           1966   8.2e-31  104.5  12.2   3   3   6.7e-06    0.0033   12.9   2.7   984  1057   624   698   604   719 0.84 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 438at5820            -           1966   2.2e-19   66.6  26.5   1   4   7.6e-11   3.8e-08   29.3   1.3   530   610   180   257   137   260 0.79 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 438at5820            -           1966   2.2e-19   66.6  26.5   2   4   1.7e-17   8.8e-15   51.3   5.9   664   846   260   439   258   467 0.77 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 438at5820            -           1966   2.2e-19   66.6  26.5   3   4     0.062        31   -0.3   0.0   986  1051   457   521   442   532 0.82 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
