#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002720.1-p1      -            715 3576at5820           -            580         0 1081.1  59.8   1   2    5e-101   9.2e-98  326.8  20.9     1   169     1   179     1   185 0.96 | transcript=PVX_002720.1 | gene=PVX_002720 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=Pv_Sal1_chr04:216342-218489(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002720.1-p1      -            715 3576at5820           -            580         0 1081.1  59.8   2   2  1.7e-231  3.1e-228  757.6  31.0   176   580   273   714   255   714 0.94 | transcript=PVX_002720.1 | gene=PVX_002720 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=Pv_Sal1_chr04:216342-218489(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111025.1-p1      -            657 3576at5820           -            580   1.8e-14   51.8  19.0   1   3   7.2e-16   1.3e-12   45.6   8.2    86   297    83   285    38   288 0.80 | transcript=PVX_111025.1 | gene=PVX_111025 | organism=Plasmodium_vivax_Sal-1 | gene_product=vesicle transport-related protein, putative | transcript_product=vesicle transport-related protein, putative | location=Pv_Sal1_chr06:778564-780537(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111025.1-p1      -            657 3576at5820           -            580   1.8e-14   51.8  19.0   2   3      0.24   4.4e+02   -2.3   0.5   365   455   395   489   380   521 0.59 | transcript=PVX_111025.1 | gene=PVX_111025 | organism=Plasmodium_vivax_Sal-1 | gene_product=vesicle transport-related protein, putative | transcript_product=vesicle transport-related protein, putative | location=Pv_Sal1_chr06:778564-780537(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111025.1-p1      -            657 3576at5820           -            580   1.8e-14   51.8  19.0   3   3   4.5e-06    0.0082   13.3   0.1   527   573   600   646   593   651 0.89 | transcript=PVX_111025.1 | gene=PVX_111025 | organism=Plasmodium_vivax_Sal-1 | gene_product=vesicle transport-related protein, putative | transcript_product=vesicle transport-related protein, putative | location=Pv_Sal1_chr06:778564-780537(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113820.1-p1      -            654 3576at5820           -            580   0.00046   17.4  12.6   1   4     0.029        53    0.7   0.0    23    76    18    72     5    88 0.76 | transcript=PVX_113820.1 | gene=PVX_113820 | organism=Plasmodium_vivax_Sal-1 | gene_product=syntaxin binding protein, putative | transcript_product=syntaxin binding protein, putative | location=Pv_Sal1_chr11:1481994-1483958(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113820.1-p1      -            654 3576at5820           -            580   0.00046   17.4  12.6   2   4    0.0019       3.4    4.6   0.2   243   289   205   251   132   261 0.86 | transcript=PVX_113820.1 | gene=PVX_113820 | organism=Plasmodium_vivax_Sal-1 | gene_product=syntaxin binding protein, putative | transcript_product=syntaxin binding protein, putative | location=Pv_Sal1_chr11:1481994-1483958(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113820.1-p1      -            654 3576at5820           -            580   0.00046   17.4  12.6   3   4      0.02        36    1.3   3.1   307   434   312   452   291   467 0.66 | transcript=PVX_113820.1 | gene=PVX_113820 | organism=Plasmodium_vivax_Sal-1 | gene_product=syntaxin binding protein, putative | transcript_product=syntaxin binding protein, putative | location=Pv_Sal1_chr11:1481994-1483958(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113820.1-p1      -            654 3576at5820           -            580   0.00046   17.4  12.6   4   4     7e-06     0.013   12.7   0.0   529   570   602   643   592   649 0.90 | transcript=PVX_113820.1 | gene=PVX_113820 | organism=Plasmodium_vivax_Sal-1 | gene_product=syntaxin binding protein, putative | transcript_product=syntaxin binding protein, putative | location=Pv_Sal1_chr11:1481994-1483958(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3576at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3576at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3576at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:30 2026
# [ok]
