#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089735.1-p1      -            231 11576at5820          -            205  3.4e-108  358.3   3.2   1   1  4.9e-111  3.9e-108  358.1   3.2     1   205     7   225     7   225 0.96 | transcript=PVX_089735.1 | gene=PVX_089735 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 1, putative | transcript_product=adenylate kinase 1, putative | location=Pv_Sal1_chr05:793356-794051(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094660.1-p1      -            242 11576at5820          -            205   1.1e-34  118.2   1.4   1   1     2e-37   1.6e-34  117.7   1.4     3   196    31   228    30   236 0.84 | transcript=PVX_094660.1 | gene=PVX_094660 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr08:437259-438258(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089565.1-p1      -            259 11576at5820          -            205   3.9e-11   41.3   0.5   1   1   3.3e-13   2.6e-10   38.6   0.5     4   174    11   218     9   236 0.72 | transcript=PVX_089565.1 | gene=PVX_089565 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr05:668335-669114(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081230.1-p1      -            373 11576at5820          -            205   3.2e-08   31.8   9.3   1   3   9.8e-08   7.7e-05   20.7   0.4     3    72   107   182   105   191 0.75 | transcript=PVX_081230.1 | gene=PVX_081230 | organism=Plasmodium_vivax_Sal-1 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=Pv_Sal1_chr02:183054-184767(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081230.1-p1      -            373 11576at5820          -            205   3.2e-08   31.8   9.3   2   3   1.4e-05     0.011   13.7   1.4    58   137   244   331   217   335 0.69 | transcript=PVX_081230.1 | gene=PVX_081230 | organism=Plasmodium_vivax_Sal-1 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=Pv_Sal1_chr02:183054-184767(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081230.1-p1      -            373 11576at5820          -            205   3.2e-08   31.8   9.3   3   3    0.0026       2.1    6.3   0.3   149   189   308   353   304   364 0.73 | transcript=PVX_081230.1 | gene=PVX_081230 | organism=Plasmodium_vivax_Sal-1 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=Pv_Sal1_chr02:183054-184767(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087110.1-p1      -            270 11576at5820          -            205     0.001   17.0   0.0   1   1   2.3e-06    0.0018   16.3   0.0    53    95   109   156    94   254 0.84 | transcript=PVX_087110.1 | gene=PVX_087110 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase-like protein 2, putative | transcript_product=adenylate kinase-like protein 2, putative | location=Pv_Sal1_chr07:1234515-1236010(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119415.1-p1      -            896 11576at5820          -            205    0.0018   16.3   1.4   1   3    0.0014       1.1    7.2   0.0     1    39   419   456   419   468 0.89 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119415.1-p1      -            896 11576at5820          -            205    0.0018   16.3   1.4   2   3    0.0012      0.91    7.4   0.0    65    89   521   545   462   551 0.65 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119415.1-p1      -            896 11576at5820          -            205    0.0018   16.3   1.4   3   3         2   1.6e+03   -3.2   0.3   173   200   692   720   673   721 0.68 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113450.1-p1      -           1685 11576at5820          -            205    0.0032   15.5   0.1   1   2   0.00012     0.097   10.6   0.1    18    84   587   658   576   672 0.84 | transcript=PVX_113450.1 | gene=PVX_113450 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleoside diphosphate kinase, putative | transcript_product=nucleoside diphosphate kinase, putative | location=Pv_Sal1_chr11:1803164-1809346(+) | protein_length=1685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113450.1-p1      -           1685 11576at5820          -            205    0.0032   15.5   0.1   2   2      0.09        71    1.3   0.0    73   103   824   854   788   861 0.81 | transcript=PVX_113450.1 | gene=PVX_113450 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleoside diphosphate kinase, putative | transcript_product=nucleoside diphosphate kinase, putative | location=Pv_Sal1_chr11:1803164-1809346(+) | protein_length=1685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11576at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11576at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11576at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:32 2026
# [ok]
