#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101365.1-p1      -            701 5387at5820           -            503  5.6e-228  755.9  47.7   1   4   9.6e-14   1.3e-10   38.8   0.2     1    32     4    35     4    37 0.96 | transcript=PVX_101365.1 | gene=PVX_101365 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2826335-2828873(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101365.1-p1      -            701 5387at5820           -            503  5.6e-228  755.9  47.7   2   4   2.1e-46   2.9e-43  146.5   4.2    31   132    77   179    73   199 0.87 | transcript=PVX_101365.1 | gene=PVX_101365 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2826335-2828873(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101365.1-p1      -            701 5387at5820           -            503  5.6e-228  755.9  47.7   3   4   2.9e-90     4e-87  291.3  27.3   103   337   194   448   172   451 0.90 | transcript=PVX_101365.1 | gene=PVX_101365 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2826335-2828873(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101365.1-p1      -            701 5387at5820           -            503  5.6e-228  755.9  47.7   4   4     5e-90   6.8e-87  290.5   0.5   334   503   512   684   486   684 0.95 | transcript=PVX_101365.1 | gene=PVX_101365 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2826335-2828873(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 5387at5820           -            503     2e-07   28.4  37.5   1   3     5e-05     0.069   10.1  12.3   121   194    32   112    17   120 0.70 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 5387at5820           -            503     2e-07   28.4  37.5   2   3     2e-06    0.0028   14.7   3.4   156   255   118   206   112   208 0.82 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 5387at5820           -            503     2e-07   28.4  37.5   3   3   3.8e-06    0.0053   13.7  12.1   104   227   158   277   155   297 0.71 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 5387at5820           -            503     0.006   13.6  15.2   1   2   2.7e-06    0.0037   14.3  13.4   125   231    53   159    34   165 0.83 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 5387at5820           -            503     0.006   13.6  15.2   2   2     0.074     1e+02   -0.4   0.0   203   226   155   178   151   193 0.75 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 5387at5820           -            503      0.11    9.5   8.5   1   2    0.0086        12    2.7   1.0   250   330    94   175    75   220 0.71 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 5387at5820           -            503      0.11    9.5   8.5   2   2   3.2e-05     0.044   10.7   1.3   141   192   276   328   268   345 0.58 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
