#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095475.1-p1      -           2106 9454at5820           -            232  5.2e-163  538.1  18.9   1   6   1.7e-35   1.9e-32  110.8   0.8    35   231    99   299    94   300 0.94 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 9454at5820           -            232  5.2e-163  538.1  18.9   2   6   1.4e-36   1.6e-33  114.4   0.6    37   231   326   522   317   523 0.95 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 9454at5820           -            232  5.2e-163  538.1  18.9   3   6   3.5e-30   3.9e-27   93.5   0.0    37   231   596   791   589   792 0.94 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 9454at5820           -            232  5.2e-163  538.1  18.9   4   6   1.6e-39   1.8e-36  124.0   0.0    38   231   833  1029   826  1030 0.95 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 9454at5820           -            232  5.2e-163  538.1  18.9   5   6   1.8e-16     2e-13   48.6   0.0    37   203  1059  1227  1047  1232 0.85 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 9454at5820           -            232  5.2e-163  538.1  18.9   6   6   3.8e-18   4.2e-15   54.1   1.6    29   231  1298  1509  1292  1510 0.84 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093675.1-p1      -            295 9454at5820           -            232  2.9e-134  444.0   4.1   1   2   2.9e-14   3.2e-11   41.4   0.3     8    35    42    69    35    74 0.92 | transcript=PVX_093675.1 | gene=PVX_093675 | organism=Plasmodium_vivax_Sal-1 | gene_product=von Willebrand factor A domain-related protein, putative | transcript_product=von Willebrand factor A domain-related protein, putative | location=Pv_Sal1_chr01:756799-757686(+) | protein_length=295 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093675.1-p1      -            295 9454at5820           -            232  2.9e-134  444.0   4.1   2   2  4.2e-125  4.6e-122  404.1   0.3    33   232    87   288    81   288 0.97 | transcript=PVX_093675.1 | gene=PVX_093675 | organism=Plasmodium_vivax_Sal-1 | gene_product=von Willebrand factor A domain-related protein, putative | transcript_product=von Willebrand factor A domain-related protein, putative | location=Pv_Sal1_chr01:756799-757686(+) | protein_length=295 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082735.1-p1      -            556 9454at5820           -            232   9.7e-14   49.6   0.1   1   1   1.4e-16   1.6e-13   48.9   0.1    21   231    22   232     5   233 0.84 | transcript=PVX_082735.1 | gene=PVX_082735 | organism=Plasmodium_vivax_Sal-1 | gene_product=thrombospondin-related anonymous protein | transcript_product=thrombospondin-related anonymous protein | location=Pv_Sal1_chr12:731600-733270(+) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113965.1-p1      -           1488 9454at5820           -            232   1.8e-08   32.4   0.1   1   1   3.2e-11   3.5e-08   31.4   0.1    33   175   322   467   310   495 0.85 | transcript=PVX_113965.1 | gene=PVX_113965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1354399-1358865(-) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_011110-t26_1-p1  -            475 9454at5820           -            232     0.017   12.8   0.2   1   1   2.6e-05     0.029   12.1   0.2    14    70    22    81     9    91 0.80 | transcript=PVX_011110-t26_1 | gene=PVX_011110 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000126:1462-3065(+) | protein_length=475 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9454at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9454at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9454at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:08 2026
# [ok]
