#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111355.1-p1      -            485 14061at5820          -            352  4.6e-116  386.2 163.3   1   4  5.2e-102   4.8e-99  330.3  19.0     1   195     1   195     1   214 0.86 | transcript=PVX_111355.1 | gene=PVX_111355 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=Pv_Sal1_chr06:536128-538277(-) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111355.1-p1      -            485 14061at5820          -            352  4.6e-116  386.2 163.3   2   4     0.041        38    1.7   2.8   157   184   185   212   180   228 0.72 | transcript=PVX_111355.1 | gene=PVX_111355 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=Pv_Sal1_chr06:536128-538277(-) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111355.1-p1      -            485 14061at5820          -            352  4.6e-116  386.2 163.3   3   4     4e-07   0.00037   18.2  61.2   166   279   223   357   204   358 0.66 | transcript=PVX_111355.1 | gene=PVX_111355 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=Pv_Sal1_chr06:536128-538277(-) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111355.1-p1      -            485 14061at5820          -            352  4.6e-116  386.2 163.3   4   4   1.1e-13   9.7e-11   39.8  91.9   229   352   339   485   327   485 0.80 | transcript=PVX_111355.1 | gene=PVX_111355 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=Pv_Sal1_chr06:536128-538277(-) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093630.1-p1      -            220 14061at5820          -            352   3.2e-07   28.3   0.4   1   1   4.5e-10   4.1e-07   27.9   0.4    40   119    35   121    31   143 0.87 | transcript=PVX_093630.1 | gene=PVX_093630 | organism=Plasmodium_vivax_Sal-1 | gene_product=1-cys peroxiredoxin | transcript_product=1-cys peroxiredoxin | location=Pv_Sal1_chr01:698633-699295(-) | protein_length=220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123435.1-p1      -            216 14061at5820          -            352   0.00016   19.3   0.1   1   1   2.3e-07   0.00021   19.0   0.1    17   132    34   154    27   184 0.78 | transcript=PVX_123435.1 | gene=PVX_123435 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin peroxidase 2, putative | transcript_product=thioredoxin peroxidase 2, putative | location=Pv_Sal1_chr14:1438150-1438800(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118545.1-p1      -            195 14061at5820          -            352   0.00027   18.6   0.0   1   1   3.5e-07   0.00032   18.4   0.0    38   152    36   158    24   187 0.83 | transcript=PVX_118545.1 | gene=PVX_118545 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin peroxidase 1, putative | transcript_product=thioredoxin peroxidase 1, putative | location=Pv_Sal1_chr12:2819091-2819678(-) | protein_length=195 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088070.1-p1      -            280 14061at5820          -            352     0.077   10.5  54.8   1   1   0.00011      0.11   10.1  54.8   165   328    50   221    35   243 0.59 | transcript=PVX_088070.1 | gene=PVX_088070 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:412151-412993(-) | protein_length=280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081440.1-p1      -            292 14061at5820          -            352      0.58    7.7  23.8   1   1   0.00085      0.78    7.2  23.8   198   286    61   147    35   168 0.67 | transcript=PVX_081440.1 | gene=PVX_081440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:344250-345128(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14061at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14061at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14061at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:21 2026
# [ok]
