#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114200.1-p1      -           1639 1628at5820           -           1124         0 1865.8 139.5   1   8   2.9e-28   2.3e-25   87.0  19.4     5   103    94   222    91   225 0.81 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 1628at5820           -           1124         0 1865.8 139.5   2   8   2.8e-09   2.2e-06   24.2   0.1   102   130   256   284   252   289 0.91 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 1628at5820           -           1124         0 1865.8 139.5   3   8   7.7e-08   6.1e-05   19.4   0.0   127   182   308   390   303   408 0.74 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 1628at5820           -           1124         0 1865.8 139.5   4   8    6e-269  4.7e-266  884.1  53.7   162   631   429   910   413   913 0.96 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 1628at5820           -           1124         0 1865.8 139.5   5   8   7.7e-73   6.1e-70  234.6   4.7   632   762   955  1094   953  1098 0.93 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 1628at5820           -           1124         0 1865.8 139.5   6   8   1.6e-50   1.3e-47  160.7   0.6   762   847  1189  1274  1178  1276 0.96 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 1628at5820           -           1124         0 1865.8 139.5   7   8   9.5e-55   7.5e-52  174.7   8.1   842   958  1310  1431  1298  1442 0.93 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 1628at5820           -           1124         0 1865.8 139.5   8   8   2.8e-95   2.2e-92  308.9   9.4   954  1124  1457  1639  1451  1639 0.93 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 1628at5820           -           1124   6.8e-13   45.7  15.8   1   3   1.8e-10   1.4e-07   28.1   0.5   344   430   188   275   183   279 0.91 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 1628at5820           -           1124   6.8e-13   45.7  15.8   2   3   6.7e-08   5.3e-05   19.6   0.5   469   579   277   385   268   414 0.84 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 1628at5820           -           1124   6.8e-13   45.7  15.8   3   3   0.00014      0.11    8.6   5.3   455   551   374   469   374   502 0.81 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 1628at5820           -           1124   8.2e-09   32.2   0.7   1   3     1e-11   8.2e-09   32.2   0.7   362   503    63   213    54   216 0.78 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
