#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087700.1-p1      -           1327 2235at5820           -            813         0 1304.7  95.2   1   7     1e-48   2.8e-45  153.0   5.6     1   130     1   137     1   150 0.72 | transcript=PVX_087700.1 | gene=PVX_087700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:41969-45952(-) | protein_length=1327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087700.1-p1      -           1327 2235at5820           -            813         0 1304.7  95.2   2   7   8.3e-61   2.3e-57  193.0  15.9    81   217   251   398   238   404 0.87 | transcript=PVX_087700.1 | gene=PVX_087700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:41969-45952(-) | protein_length=1327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087700.1-p1      -           1327 2235at5820           -            813         0 1304.7  95.2   3   7   6.2e-34   1.7e-30  104.1   0.3   226   301   453   532   436   536 0.90 | transcript=PVX_087700.1 | gene=PVX_087700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:41969-45952(-) | protein_length=1327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087700.1-p1      -           1327 2235at5820           -            813         0 1304.7  95.2   4   7   1.5e-18   4.3e-15   53.2   0.1   295   345   566   619   558   639 0.83 | transcript=PVX_087700.1 | gene=PVX_087700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:41969-45952(-) | protein_length=1327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087700.1-p1      -           1327 2235at5820           -            813         0 1304.7  95.2   5   7  8.2e-103   2.3e-99  331.9  11.7   339   557   722   967   707   981 0.89 | transcript=PVX_087700.1 | gene=PVX_087700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:41969-45952(-) | protein_length=1327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087700.1-p1      -           1327 2235at5820           -            813         0 1304.7  95.2   6   7  1.3e-141  3.7e-138  460.2  26.3   554   769  1020  1235  1017  1263 0.96 | transcript=PVX_087700.1 | gene=PVX_087700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:41969-45952(-) | protein_length=1327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087700.1-p1      -           1327 2235at5820           -            813         0 1304.7  95.2   7   7   1.1e-12   2.9e-09   33.8   0.0   766   813  1270  1327  1256  1327 0.80 | transcript=PVX_087700.1 | gene=PVX_087700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:41969-45952(-) | protein_length=1327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113240.1-p1      -            268 2235at5820           -            813       7.1    2.8  21.4   1   2   3.8e-05       0.1    8.9   1.7    44   127    13   106     4   129 0.61 | transcript=PVX_113240.1 | gene=PVX_113240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:1990617-1991778(+) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113240.1-p1      -            268 2235at5820           -            813       7.1    2.8  21.4   2   2     0.026        72   -0.5  12.3    58   152   171   265   161   267 0.68 | transcript=PVX_113240.1 | gene=PVX_113240 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:1990617-1991778(+) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2235at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2235at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2235at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:51 2026
# [ok]
