#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0   1  10   3.5e-49     2e-45  153.7   6.9     1    87    65   151    65   161 0.95 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0   2  10  6.4e-127  3.5e-123  411.0  14.0    85   387   172   531   166   535 0.87 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0   3  10   2.1e-10   1.2e-06   25.4   0.0   388   427   605   644   602   647 0.93 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0   4  10   2.2e-62   1.2e-58  197.4   7.0   413   545   686   824   683   837 0.92 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0   5  10   8.1e-19   4.5e-15   53.2   0.1   544   583   881   920   873   925 0.92 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0   6  10   2.5e-27   1.4e-23   81.4   0.3   577   652   952  1033   944  1035 0.89 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0   7  10   6.3e-31   3.5e-27   93.3   0.3   651   711  1055  1116  1052  1123 0.94 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0   8  10   7.3e-07     0.004   13.7   0.1   712   738  1150  1176  1146  1179 0.87 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0   9  10   5.7e-28   3.2e-24   83.5  10.4   735   795  1197  1257  1194  1258 0.96 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123810.1-p1      -           1452 1826at5820           -            940         0 1295.5 110.0  10  10   9.6e-69   5.3e-65  218.5  19.2   802   939  1305  1449  1302  1450 0.95 | transcript=PVX_123810.1 | gene=PVX_123810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1812162-1816703(-) | protein_length=1452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
