#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001880.1-p1      -            556 6942at5820           -            402  3.2e-190  630.5  13.9   1   2  6.4e-147  7.1e-144  477.9  12.6     1   300     1   340     1   349 0.90 | transcript=PVX_001880.1 | gene=PVX_001880 | organism=Plasmodium_vivax_Sal-1 | gene_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | transcript_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | location=Pv_Sal1_chr06:221371-223211(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001880.1-p1      -            556 6942at5820           -            402  3.2e-190  630.5  13.9   2   2   6.5e-47   7.2e-44  148.6   0.0   299   402   425   537   422   537 0.93 | transcript=PVX_001880.1 | gene=PVX_001880 | organism=Plasmodium_vivax_Sal-1 | gene_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | transcript_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | location=Pv_Sal1_chr06:221371-223211(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092085.1-p1      -            615 6942at5820           -            402   1.3e-12   45.7   6.0   1   3      0.31   3.4e+02   -1.8   0.1    95   162   193   256   162   283 0.59 | transcript=PVX_092085.1 | gene=PVX_092085 | organism=Plasmodium_vivax_Sal-1 | gene_product=proliferating-cell nucleolar antigen p120, putative | transcript_product=proliferating-cell nucleolar antigen p120, putative | location=Pv_Sal1_chr09:1081089-1082936(-) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092085.1-p1      -            615 6942at5820           -            402   1.3e-12   45.7   6.0   2   3   9.2e-06      0.01   13.1   0.1   157   205   300   348   288   382 0.85 | transcript=PVX_092085.1 | gene=PVX_092085 | organism=Plasmodium_vivax_Sal-1 | gene_product=proliferating-cell nucleolar antigen p120, putative | transcript_product=proliferating-cell nucleolar antigen p120, putative | location=Pv_Sal1_chr09:1081089-1082936(-) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092085.1-p1      -            615 6942at5820           -            402   1.3e-12   45.7   6.0   3   3   2.2e-12   2.4e-09   34.9   0.3   316   365   405   454   390   503 0.84 | transcript=PVX_092085.1 | gene=PVX_092085 | organism=Plasmodium_vivax_Sal-1 | gene_product=proliferating-cell nucleolar antigen p120, putative | transcript_product=proliferating-cell nucleolar antigen p120, putative | location=Pv_Sal1_chr09:1081089-1082936(-) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091200.1-p1      -            505 6942at5820           -            402   1.2e-07   29.3   4.2   1   3       0.1   1.2e+02   -0.3   0.1   189   235     7    57     3    66 0.76 | transcript=PVX_091200.1 | gene=PVX_091200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:335592-337109(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091200.1-p1      -            505 6942at5820           -            402   1.2e-07   29.3   4.2   2   3    0.0063         7    3.7   0.0   149   183   208   242   173   261 0.78 | transcript=PVX_091200.1 | gene=PVX_091200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:335592-337109(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091200.1-p1      -            505 6942at5820           -            402   1.2e-07   29.3   4.2   3   3   1.7e-09   1.9e-06   25.4   0.2   313   369   363   420   341   445 0.80 | transcript=PVX_091200.1 | gene=PVX_091200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:335592-337109(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 6942at5820           -            402   0.00012   19.5   0.2   1   6     0.001       1.1    6.3   1.9   113   186    95   165    59   184 0.67 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 6942at5820           -            402   0.00012   19.5   0.2   2   6     1e-07   0.00012   19.5   0.2   320   373   377   430   373   442 0.88 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 6942at5820           -            402   0.00012   19.5   0.2   3   6       2.9   3.2e+03   -5.0   2.9    27    46   531   550   518   570 0.53 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
