#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094805.1-p1      -            406 9842at5820           -            282  3.9e-148  490.6  43.0   1   4   3.5e-45   3.2e-42  143.1   7.0     1    89     1    89     1   103 0.90 | transcript=PVX_094805.1 | gene=PVX_094805 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=Pv_Sal1_chr08:532077-533297(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094805.1-p1      -            406 9842at5820           -            282  3.9e-148  490.6  43.0   2   4   2.6e-34   2.4e-31  107.4   5.6    80   173   121   209   115   223 0.75 | transcript=PVX_094805.1 | gene=PVX_094805 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=Pv_Sal1_chr08:532077-533297(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094805.1-p1      -            406 9842at5820           -            282  3.9e-148  490.6  43.0   3   4     5e-39   4.6e-36  122.9   3.0   138   225   233   326   217   334 0.87 | transcript=PVX_094805.1 | gene=PVX_094805 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=Pv_Sal1_chr08:532077-533297(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094805.1-p1      -            406 9842at5820           -            282  3.9e-148  490.6  43.0   4   4   1.2e-42   1.1e-39  134.8   4.8   215   282   339   406   330   406 0.94 | transcript=PVX_094805.1 | gene=PVX_094805 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=Pv_Sal1_chr08:532077-533297(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9842at5820           -            282   1.3e-32  111.6  14.5   1   5   7.7e-09   7.1e-06   23.9   0.1     1    66     1    67     1    74 0.85 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9842at5820           -            282   1.3e-32  111.6  14.5   2   5   8.4e-09   7.8e-06   23.8   0.1     1    66    77   143    77   150 0.85 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9842at5820           -            282   1.3e-32  111.6  14.5   3   5   8.4e-09   7.8e-06   23.8   0.1     1    66   153   219   153   226 0.85 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9842at5820           -            282   1.3e-32  111.6  14.5   4   5   8.4e-09   7.8e-06   23.8   0.1     1    66   229   295   229   302 0.85 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9842at5820           -            282   1.3e-32  111.6  14.5   5   5   7.6e-09     7e-06   23.9   0.1     1    68   305   373   305   379 0.85 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115255.1-p1      -            128 9842at5820           -            282   9.9e-07   26.7   0.1   1   1   1.3e-09   1.2e-06   26.4   0.1     1    69     1    70     1    76 0.87 | transcript=PVX_115255.1 | gene=PVX_115255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=Pv_Sal1_chr11:205671-206477(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 9842at5820           -            282    0.0003   18.5   0.1   1   2   3.3e-07    0.0003   18.5   0.1    10    57    12    58     1    92 0.82 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
