#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123385.1-p1      -           1065 3950at5820           -            631         0 1132.6  90.2   1   4  5.8e-125  8.1e-122  406.0  19.0     1   207     1   213     1   221 0.98 | transcript=PVX_123385.1 | gene=PVX_123385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1409160-1412630(-) | protein_length=1065 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123385.1-p1      -           1065 3950at5820           -            631         0 1132.6  90.2   2   4  5.9e-128  8.2e-125  415.9  20.2   206   471   252   527   241   542 0.91 | transcript=PVX_123385.1 | gene=PVX_123385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1409160-1412630(-) | protein_length=1065 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123385.1-p1      -           1065 3950at5820           -            631         0 1132.6  90.2   3   4   9.3e-07    0.0013   15.5   7.9   426   469   804   868   798   876 0.68 | transcript=PVX_123385.1 | gene=PVX_123385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1409160-1412630(-) | protein_length=1065 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123385.1-p1      -           1065 3950at5820           -            631         0 1132.6  90.2   4   4   1.6e-94   2.2e-91  305.5  20.1   461   631   890  1065   870  1065 0.88 | transcript=PVX_123385.1 | gene=PVX_123385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1409160-1412630(-) | protein_length=1065 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116557.1-p1      -            479 3950at5820           -            631   5.6e-06   23.3  15.1   1   2       2.3   3.2e+03   -5.6  10.8   184   253   200   270    34   287 0.59 | transcript=PVX_116557.1 | gene=PVX_116557 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor EIF-2B gamma subunit, putative | transcript_product=translation initiation factor EIF-2B gamma subunit, putative | location=Pv_Sal1_chr12:1088385-1091203(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116557.1-p1      -            479 3950at5820           -            631   5.6e-06   23.3  15.1   2   2     4e-09   5.6e-06   23.3  15.1   336   410   387   460   375   471 0.79 | transcript=PVX_116557.1 | gene=PVX_116557 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor EIF-2B gamma subunit, putative | transcript_product=translation initiation factor EIF-2B gamma subunit, putative | location=Pv_Sal1_chr12:1088385-1091203(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085435.1-p1      -            452 3950at5820           -            631   0.00019   18.3  14.7   1   3     0.031        43    0.6   0.0    48   143    33   123    13   134 0.80 | transcript=PVX_085435.1 | gene=PVX_085435 | organism=Plasmodium_vivax_Sal-1 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=Pv_Sal1_chr13:1169586-1171263(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085435.1-p1      -            452 3950at5820           -            631   0.00019   18.3  14.7   2   3   7.6e-07    0.0011   15.8   6.3   323   413   327   423   307   431 0.59 | transcript=PVX_085435.1 | gene=PVX_085435 | organism=Plasmodium_vivax_Sal-1 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=Pv_Sal1_chr13:1169586-1171263(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085435.1-p1      -            452 3950at5820           -            631   0.00019   18.3  14.7   3   3     9e-07    0.0012   15.6   1.2   326   396   370   441   365   451 0.84 | transcript=PVX_085435.1 | gene=PVX_085435 | organism=Plasmodium_vivax_Sal-1 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=Pv_Sal1_chr13:1169586-1171263(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096175.1-p1      -            243 3950at5820           -            631    0.0003   17.6   1.6   1   1   2.6e-07   0.00035   17.4   1.6   344   396   150   204   143   240 0.72 | transcript=PVX_096175.1 | gene=PVX_096175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=Pv_Sal1_chr03:705829-706560(-) | protein_length=243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3950at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3950at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3950at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:22 2026
# [ok]
