#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3   1  30    1e-164  5.7e-161  535.4  19.6     1   249     1   249     1   285 0.96 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3   2  30   1.2e-10   6.9e-07   24.0  11.4   238   286   288   341   273   348 0.85 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3   3  30   9.7e-31   5.4e-27   90.7   0.1   278   354   374   452   361   456 0.91 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3   4  30   0.00081       4.5    1.3   0.0   347   368   477   498   470   515 0.87 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3   5  30  4.6e-147  2.6e-143  476.8  16.0   417   646   651   880   634   890 0.97 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3   6  30  8.7e-243  4.8e-239  794.6  30.2   647  1063   939  1383   936  1423 0.91 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3   7  30   0.00095       5.2    1.1   4.4  1052  1101  1432  1495  1424  1514 0.66 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3   8  30   5.9e-54   3.3e-50  167.8  18.9  1091  1219  1554  1681  1513  1691 0.86 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3   9  30   2.4e-05      0.13    6.4   0.0  1215  1246  1853  1885  1846  1893 0.81 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3  10  30   2.8e-44   1.5e-40  135.7   8.8  1248  1341  2042  2140  2004  2163 0.82 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083085.1-p1      -           7255 18at5820             -           4644         0 7633.2 565.3  11  30   8.8e-50   4.9e-46  153.9   2.7  1340  1444  2178  2294  2165  2303 0.87 | transcript=PVX_083085.1 | gene=PVX_083085 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:422873-444640(+) | protein_length=7255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
