#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091315.1-p1      -            394 9916at5820           -            296  2.4e-155  514.5  46.4   1   3   5.9e-47   3.6e-44  149.5   0.1     1    76     1    76     1    84 0.98 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 9916at5820           -            296  2.4e-155  514.5  46.4   2   3   2.7e-64   1.6e-61  206.5  26.7    68   207   110   275    95   281 0.85 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 9916at5820           -            296  2.4e-155  514.5  46.4   3   3   6.6e-51     4e-48  162.5   7.3   200   296   291   394   289   394 0.96 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9916at5820           -            296   3.8e-51  172.4   6.3   1   5   6.7e-12   4.1e-09   34.4   0.0     6    72     4    70     1    76 0.94 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9916at5820           -            296   3.8e-51  172.4   6.3   2   5   6.1e-12   3.8e-09   34.6   0.0     5    72    79   146    75   156 0.94 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9916at5820           -            296   3.8e-51  172.4   6.3   3   5   5.8e-12   3.6e-09   34.6   0.1     6    72   156   222   152   234 0.93 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9916at5820           -            296   3.8e-51  172.4   6.3   4   5   6.6e-12     4e-09   34.5   0.0     5    72   231   298   227   305 0.94 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 9916at5820           -            296   3.8e-51  172.4   6.3   5   5   7.2e-12   4.5e-09   34.3   0.0     5    72   307   374   303   378 0.94 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092205.1-p1      -            869 9916at5820           -            296   2.3e-12   45.1   4.6   1   2   7.9e-10   4.9e-07   27.6   2.4     5   175   145   318   141   334 0.76 | transcript=PVX_092205.1 | gene=PVX_092205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain containing protein | transcript_product=ubiquitin domain containing protein | location=Pv_Sal1_chr09:1174725-1177334(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092205.1-p1      -            869 9916at5820           -            296   2.3e-12   45.1   4.6   2   2   1.4e-06   0.00085   17.0   0.0   252   291   822   861   809   864 0.89 | transcript=PVX_092205.1 | gene=PVX_092205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain containing protein | transcript_product=ubiquitin domain containing protein | location=Pv_Sal1_chr09:1174725-1177334(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115255.1-p1      -            128 9916at5820           -            296     8e-09   33.5   0.0   1   1   1.4e-11   8.9e-09   33.3   0.0     6    73     4    71     1    92 0.92 | transcript=PVX_115255.1 | gene=PVX_115255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=Pv_Sal1_chr11:205671-206477(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122475.1-p1      -             76 9916at5820           -            296   1.5e-06   26.0   0.0   1   1   2.6e-09   1.6e-06   26.0   0.0     7    72     5    70     1    74 0.94 | transcript=PVX_122475.1 | gene=PVX_122475 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain containing protein | transcript_product=ubiquitin domain containing protein | location=Pv_Sal1_chr14:603605-604122(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 9916at5820           -            296   4.7e-06   24.4   0.8   1   1   2.4e-08   1.5e-05   22.7   0.8     3   125     7   129     5   145 0.81 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100840.1-p1      -             73 9916at5820           -            296    0.0021   15.7   0.1   1   1   3.4e-06    0.0021   15.7   0.1    11    71    10    70     1    73 0.91 | transcript=PVX_100840.1 | gene=PVX_100840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like modifier HUB1, putative | transcript_product=ubiquitin-like modifier HUB1, putative | location=Pv_Sal1_chr14:2418700-2419022(+) | protein_length=73 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 9916at5820           -            296     0.018   12.6   0.0   1   1   4.6e-05     0.028   12.0   0.0     4    77     5    77     1    81 0.85 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089620.1-p1      -            392 9916at5820           -            296     0.022   12.3   0.1   1   1   5.8e-05     0.036   11.7   0.1    13    72   116   173   112   194 0.84 | transcript=PVX_089620.1 | gene=PVX_089620 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=Pv_Sal1_chr05:705224-706587(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9916at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9916at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9916at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:14 2026
# [ok]
