#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4   1  10   0.00016      0.44    7.0   0.1     1    21     1    26     1    34 0.73 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4   2  10   1.1e-07    0.0003   17.4   0.0    25    55    84   121    77   125 0.78 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4   3  10   1.7e-57   4.7e-54  182.1   4.8    55   196   164   317   157   324 0.92 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4   4  10   1.3e-26   3.6e-23   80.0   1.8   193   297   352   482   345   486 0.79 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4   5  10   3.1e-75   8.6e-72  240.8   0.0   298   437   553   693   537   700 0.95 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4   6  10   2.9e-18     8e-15   52.4   1.2   437   487   735   793   729   796 0.83 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4   7  10   1.2e-19   3.2e-16   57.0   0.0   487   535   817   865   809   874 0.93 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4   8  10     6e-22   1.6e-18   64.6   0.2   537   620   903  1021   895  1027 0.79 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4   9  10   7.4e-32     2e-28   97.4   0.0   610   683  1044  1117  1037  1123 0.90 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116670.1-p1      -           1261 2486at5820           -            754  3.6e-268  890.1  30.4  10  10   2.1e-31   5.8e-28   95.9   0.6   684   746  1148  1210  1145  1213 0.95 | transcript=PVX_116670.1 | gene=PVX_116670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1195707-1199492(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119585.1-p1      -            613 2486at5820           -            754   0.00087   15.9   0.0   1   2     0.014        39    0.5   0.0   293   323   231   261   219   269 0.76 | transcript=PVX_119585.1 | gene=PVX_119585 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine synthetase [glutamine-hydrolyzing], putative | transcript_product=asparagine synthetase [glutamine-hydrolyzing], putative | location=Pv_Sal1_chr08:1360978-1363371(-) | protein_length=613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
