#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097820.1-p1      -            600 5548at5820           -            458  1.4e-255  846.6  40.1   1   2   9.1e-81   5.6e-78  261.1   3.3     1   139     1   143     1   149 0.96 | transcript=PVX_097820.1 | gene=PVX_097820 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr10:1113787-1115589(-) | protein_length=600 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097820.1-p1      -            600 5548at5820           -            458  1.4e-255  846.6  40.1   2   2  6.8e-181  4.2e-178  591.1  29.0   130   458   235   600   229   600 0.93 | transcript=PVX_097820.1 | gene=PVX_097820 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr10:1113787-1115589(-) | protein_length=600 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 5548at5820           -            458   3.4e-43  146.4   0.1   1   5   3.9e-06    0.0024   15.0   0.0     5    38    16    49    13    55 0.90 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 5548at5820           -            458   3.4e-43  146.4   0.1   2   5   0.00059      0.36    7.8   0.0    67   112    67   113    64   121 0.83 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 5548at5820           -            458   3.4e-43  146.4   0.1   3   5   3.5e-19   2.2e-16   58.0   0.0   166   275   133   246   128   249 0.95 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 5548at5820           -            458   3.4e-43  146.4   0.1   4   5      0.27   1.6e+02   -0.9   0.0   278   315   273   310   264   341 0.71 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 5548at5820           -            458   3.4e-43  146.4   0.1   5   5   1.7e-19     1e-16   59.1   0.0   319   458   347   492   323   492 0.78 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 5548at5820           -            458   1.4e-35  121.2   0.0   1   2   8.7e-05     0.054   10.6   0.0     8    41     6    39     2    71 0.84 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 5548at5820           -            458   1.4e-35  121.2   0.0   2   2   4.8e-34   2.9e-31  107.0   0.0   185   458   112   375    91   375 0.89 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 5548at5820           -            458   1.6e-33  114.5   2.1   1   2   0.00017       0.1    9.6   0.1     9    40    13    44     1    58 0.90 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 5548at5820           -            458   1.6e-33  114.5   2.1   2   2     5e-33   3.1e-30  103.7   0.3   152   457    84   377    52   378 0.87 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
