#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085365.1-p1      -            383 11338at5820          -            249  9.6e-101  334.7  36.9   1   4   1.1e-28   8.5e-26   89.1   0.1     3    53     1    51     1    57 0.95 | transcript=PVX_085365.1 | gene=PVX_085365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1138380-1139531(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085365.1-p1      -            383 11338at5820          -            249  9.6e-101  334.7  36.9   2   4   1.4e-28   1.1e-25   88.8   4.2    48   126    78   166    75   171 0.83 | transcript=PVX_085365.1 | gene=PVX_085365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1138380-1139531(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085365.1-p1      -            383 11338at5820          -            249  9.6e-101  334.7  36.9   3   4   2.4e-44   1.9e-41  140.4  16.2   104   228   195   342   188   348 0.82 | transcript=PVX_085365.1 | gene=PVX_085365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1138380-1139531(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085365.1-p1      -            383 11338at5820          -            249  9.6e-101  334.7  36.9   4   4   5.7e-07   0.00045   18.0   0.2   228   249   361   382   356   382 0.89 | transcript=PVX_085365.1 | gene=PVX_085365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1138380-1139531(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 11338at5820          -            249   9.3e-08   30.1   0.4   1   1   2.2e-10   1.7e-07   29.2   0.4    11    81     1    74     1    82 0.80 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 11338at5820          -            249   4.9e-07   27.7   0.5   1   2   6.1e-10   4.9e-07   27.7   0.5    10    81    23    90    19   104 0.84 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 11338at5820          -            249   4.9e-07   27.7   0.5   2   2      0.98   7.7e+02   -2.4   2.0    95   130   352   365   329   407 0.51 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 11338at5820          -            249     2e-05   22.4   0.2   1   1   3.7e-08   2.9e-05   21.9   0.2    33    80    20    73     6    90 0.83 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 11338at5820          -            249   2.2e-05   22.3   3.5   1   1   4.8e-08   3.8e-05   21.5   3.5    14   126    85   200    81   226 0.75 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 11338at5820          -            249   0.00019   19.2   0.1   1   2   2.4e-07   0.00019   19.2   0.1    30    79    64   117    55   130 0.81 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 11338at5820          -            249   0.00019   19.2   0.1   2   2       1.4   1.1e+03   -3.0   3.3    92   157   269   337   250   348 0.61 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
