#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122740.1-p1      -           1218 1919at5820           -           1069         0 2019.9 170.4   1   4  7.8e-173  1.1e-169  564.7  21.4     1   289     1   283     1   289 0.94 | transcript=PVX_122740.1 | gene=PVX_122740 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome 2, putative | transcript_product=structural maintenance of chromosome 2, putative | location=Pv_Sal1_chr14:824711-828690(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122740.1-p1      -           1218 1919at5820           -           1069         0 2019.9 170.4   2   4   5.5e-78   7.6e-75  250.7  48.7   246   435   283   480   278   481 0.92 | transcript=PVX_122740.1 | gene=PVX_122740 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome 2, putative | transcript_product=structural maintenance of chromosome 2, putative | location=Pv_Sal1_chr14:824711-828690(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122740.1-p1      -           1218 1919at5820           -           1069         0 2019.9 170.4   3   4  2.7e-112  3.8e-109  364.3  17.4   405   626   477   712   472   721 0.91 | transcript=PVX_122740.1 | gene=PVX_122740 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome 2, putative | transcript_product=structural maintenance of chromosome 2, putative | location=Pv_Sal1_chr14:824711-828690(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122740.1-p1      -           1218 1919at5820           -           1069         0 2019.9 170.4   4   4  1.1e-261  1.5e-258  858.9  62.0   611  1069   720  1213   713  1213 0.95 | transcript=PVX_122740.1 | gene=PVX_122740 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome 2, putative | transcript_product=structural maintenance of chromosome 2, putative | location=Pv_Sal1_chr14:824711-828690(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1919at5820           -           1069   3.8e-27   92.8  45.0   1   5   7.4e-17     1e-13   48.3  33.6     3   333    58   432    56   439 0.70 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1919at5820           -           1069   3.8e-27   92.8  45.0   2   5         4   5.5e+03  -19.3  42.2   183   598   324   753   318   758 0.63 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1919at5820           -           1069   3.8e-27   92.8  45.0   3   5         4   5.5e+03  -12.6  21.3   259   382   812   937   777   943 0.58 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1919at5820           -           1069   3.8e-27   92.8  45.0   4   5         4   5.5e+03  -10.7  30.8   608   767   915  1063   911  1083 0.60 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1919at5820           -           1069   3.8e-27   92.8  45.0   5   5   2.2e-20   3.1e-17   60.0   3.5   858  1030  1232  1406  1187  1422 0.77 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089660.1-p1      -           1193 1919at5820           -           1069     5e-25   85.8 172.0   1   2   6.5e-13     9e-10   35.2  68.6     1   419     1   431     1   451 0.70 | transcript=PVX_089660.1 | gene=PVX_089660 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome associated protein, putative | transcript_product=chromosome associated protein, putative | location=Pv_Sal1_chr05:728542-735421(-) | protein_length=1193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089660.1-p1      -           1193 1919at5820           -           1069     5e-25   85.8 172.0   2   2     1e-14   1.4e-11   41.2  95.9   432  1044   490  1174   448  1191 0.73 | transcript=PVX_089660.1 | gene=PVX_089660 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome associated protein, putative | transcript_product=chromosome associated protein, putative | location=Pv_Sal1_chr05:728542-735421(-) | protein_length=1193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
