#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7   1  15   3.4e-29   1.9e-25   86.8   8.7     1    79     1   105     1   118 0.81 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7   2  15     2e-07    0.0011   14.6   0.0    73   108   220   255   204   257 0.87 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7   3  15   1.1e-21   6.2e-18   61.9   0.7    99   175   514   600   488   604 0.84 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7   4  15  1.1e-108  6.1e-105  350.3  20.3   169   376   688   898   679   930 0.96 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7   5  15   5.1e-76   2.8e-72  242.1  11.4   416   550  1125  1259  1078  1267 0.93 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7   6  15   1.5e-08   8.1e-05   18.4   2.8   549   576  1320  1351  1317  1360 0.88 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7   7  15   7.9e-51   4.3e-47  158.5   9.5   575   674  1426  1525  1418  1532 0.96 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7   8  15   2.5e-69   1.4e-65  219.9  17.8   676   802  1589  1723  1584  1729 0.94 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7   9  15     2e-26   1.1e-22   77.6   1.4   803   851  1787  1835  1781  1840 0.95 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7  10  15   2.5e-24   1.4e-20   70.6   0.2   852   901  1868  1917  1864  1926 0.94 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083315.1-p1      -           3459 359at5820            -           1865         0 2784.2 251.7  11  15   8.7e-26   4.8e-22   75.5   1.4   899   962  1956  2020  1951  2025 0.89 | transcript=PVX_083315.1 | gene=PVX_083315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:212741-223572(+) | protein_length=3459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
