#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003760.1-p1      -            106 14551at5820          -             99   2.3e-60  199.5  13.2   1   1   3.7e-63   2.9e-60  199.2  13.2     1    99     1   106     1   106 0.95 | transcript=PVX_003760.1 | gene=PVX_003760 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor, putative | transcript_product=transcription factor, putative | location=Pv_Sal1_chr04:633838-634363(+) | protein_length=106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122950.1-p1      -            435 14551at5820          -             99   1.1e-08   33.7   0.8   1   4         4   3.1e+03   -3.0   0.0    53    76    35    58    27    66 0.58 | transcript=PVX_122950.1 | gene=PVX_122950 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription elongation factor, putative | transcript_product=transcription elongation factor, putative | location=Pv_Sal1_chr14:1027292-1028599(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122950.1-p1      -            435 14551at5820          -             99   1.1e-08   33.7   0.8   2   4       2.9   2.3e+03   -2.6   0.2    61    61   112   112    82   143 0.57 | transcript=PVX_122950.1 | gene=PVX_122950 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription elongation factor, putative | transcript_product=transcription elongation factor, putative | location=Pv_Sal1_chr14:1027292-1028599(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122950.1-p1      -            435 14551at5820          -             99   1.1e-08   33.7   0.8   3   4       2.6     2e+03   -2.4   0.3    31    52   311   332   292   348 0.65 | transcript=PVX_122950.1 | gene=PVX_122950 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription elongation factor, putative | transcript_product=transcription elongation factor, putative | location=Pv_Sal1_chr14:1027292-1028599(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122950.1-p1      -            435 14551at5820          -             99   1.1e-08   33.7   0.8   4   4   1.5e-11   1.1e-08   33.7   0.8    46    98   382   434   354   435 0.78 | transcript=PVX_122950.1 | gene=PVX_122950 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription elongation factor, putative | transcript_product=transcription elongation factor, putative | location=Pv_Sal1_chr14:1027292-1028599(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000880.1-p1      -            454 14551at5820          -             99   9.3e-07   27.6   3.0   1   2       1.1   8.4e+02   -1.2   0.5    21    36   284   300   266   312 0.61 | transcript=PVX_000880.1 | gene=PVX_000880 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:232913-234277(+) | protein_length=454 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000880.1-p1      -            454 14551at5820          -             99   9.3e-07   27.6   3.0   2   2   1.2e-09   9.3e-07   27.6   3.0    30    95   385   448   365   451 0.83 | transcript=PVX_000880.1 | gene=PVX_000880 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:232913-234277(+) | protein_length=454 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_136260-t26_1-p1  -            178 14551at5820          -             99   0.00011   20.8   7.6   1   1   4.2e-07   0.00033   19.4   7.6     3    98     5   115     3   118 0.66 | transcript=PVX_136260-t26_1 | gene=PVX_136260 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001741:1-823(-) | protein_length=178 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_081277.1-p1      -            252 14551at5820          -             99    0.0002   20.1   7.0   1   1   6.7e-07   0.00053   18.7   7.0     3    98     5   115     3   118 0.66 | transcript=PVX_081277.1 | gene=PVX_081277 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase 2, putative | transcript_product=DNA-directed RNA polymerase 2, putative | location=Pv_Sal1_chr02:226218-227220(+) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085185.1-p1      -           1138 14551at5820          -             99    0.0021   16.8   0.6   1   2       2.7   2.2e+03   -2.5   1.2    21    52   238   269   225   278 0.65 | transcript=PVX_085185.1 | gene=PVX_085185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:986453-989869(-) | protein_length=1138 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085185.1-p1      -           1138 14551at5820          -             99    0.0021   16.8   0.6   2   2   2.6e-06    0.0021   16.8   0.6    28    89   841   902   815   915 0.85 | transcript=PVX_085185.1 | gene=PVX_085185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:986453-989869(-) | protein_length=1138 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100970.1-p1      -           2152 14551at5820          -             99    0.0037   16.0   1.3   1   1     1e-05     0.008   14.9   1.3     2    52  1117  1166  1116  1186 0.79 | transcript=PVX_100970.1 | gene=PVX_100970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2543705-2550163(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14551at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:47 2026
# [ok]
