#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001005.1-p1      -            762 4841at5820           -            504  2.5e-253  839.7  43.5   1   5   5.8e-82   2.7e-79  265.5   2.4     3   155     4   166     1   168 0.91 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 4841at5820           -            504  2.5e-253  839.7  43.5   2   5   1.9e-19   8.9e-17   59.3   0.1   155   208   235   294   227   298 0.88 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 4841at5820           -            504  2.5e-253  839.7  43.5   3   5   5.3e-78   2.4e-75  252.5   6.7   202   345   333   480   320   485 0.95 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 4841at5820           -            504  2.5e-253  839.7  43.5   4   5   1.6e-61   7.5e-59  198.1   2.9   345   469   576   706   573   714 0.92 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 4841at5820           -            504  2.5e-253  839.7  43.5   5   5   1.8e-27   8.5e-25   85.7   3.2   456   503   715   762   711   762 0.96 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 4841at5820           -            504   7.6e-30  102.4  14.3   1   3   9.5e-05     0.044   10.8   0.3     3   107    12   120    10   123 0.74 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 4841at5820           -            504   7.6e-30  102.4  14.3   2   3   4.6e-12   2.1e-09   34.9   0.3   246   313   382   454   365   469 0.82 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 4841at5820           -            504   7.6e-30  102.4  14.3   3   3   7.1e-21   3.3e-18   64.0   1.6   382   494   554   669   545   675 0.80 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101280.1-p1      -            611 4841at5820           -            504   2.3e-29  100.8   7.9   1   2   7.9e-07   0.00036   17.7   0.1     5   133     8   147     4   151 0.55 | transcript=PVX_101280.1 | gene=PVX_101280 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=Pv_Sal1_chr14:2767368-2770587(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101280.1-p1      -            611 4841at5820           -            504   2.3e-29  100.8   7.9   2   2   1.5e-25   6.7e-23   79.5   4.0   246   491   312   551   308   561 0.76 | transcript=PVX_101280.1 | gene=PVX_101280 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=Pv_Sal1_chr14:2767368-2770587(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091415.1-p1      -            487 4841at5820           -            504   9.5e-18   62.5  12.0   1   3      0.47   2.2e+02   -1.4   0.3   210   228   219   237   126   268 0.53 | transcript=PVX_091415.1 | gene=PVX_091415 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:500343-501806(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
