#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081285.1-p1      -            776 5049at5820           -            494  1.7e-225  747.6  18.0   1   6   5.4e-37   2.1e-34  117.3   0.6     1    59     1    59     1    65 0.95 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 5049at5820           -            494  1.7e-225  747.6  18.0   2   6   2.5e-51   9.7e-49  164.6   1.2    60   164   121   231   117   233 0.96 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 5049at5820           -            494  1.7e-225  747.6  18.0   3   6   0.00015     0.058   10.3   0.0   162   184   292   314   285   318 0.89 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 5049at5820           -            494  1.7e-225  747.6  18.0   4   6   1.7e-75   6.7e-73  244.3   0.4   179   322   354   499   348   503 0.96 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 5049at5820           -            494  1.7e-225  747.6  18.0   5   6       2.8   1.1e+03   -3.8   0.0   320   332   523   535   521   536 0.89 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 5049at5820           -            494  1.7e-225  747.6  18.0   6   6   5.5e-68   2.2e-65  219.5   0.1   333   494   572   754   568   754 0.94 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 5049at5820           -            494   1.1e-26   91.9   0.8   1   1   4.2e-29   1.7e-26   91.2   0.8     4   284    73   372    71   380 0.77 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085920.1-p1      -            465 5049at5820           -            494   6.4e-18   62.9   2.3   1   2   9.7e-07   0.00038   17.5   0.0     3    56    35    84    33    95 0.86 | transcript=PVX_085920.1 | gene=PVX_085920 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2 gamma subunit, putative | transcript_product=eukaryotic translation initiation factor 2 gamma subunit, putative | location=Pv_Sal1_chr13:1632475-1633872(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085920.1-p1      -            465 5049at5820           -            494   6.4e-18   62.9   2.3   2   2   4.3e-15   1.7e-12   45.0   0.6    64   199   122   261   113   304 0.80 | transcript=PVX_085920.1 | gene=PVX_085920 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2 gamma subunit, putative | transcript_product=eukaryotic translation initiation factor 2 gamma subunit, putative | location=Pv_Sal1_chr13:1632475-1633872(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 5049at5820           -            494   1.3e-11   42.1   1.6   1   2   3.3e-14   1.3e-11   42.1   1.6     3   128   768   881   767   926 0.84 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 5049at5820           -            494   1.3e-11   42.1   1.6   2   2       2.7   1.1e+03   -3.8   0.6   194   241  1288  1336  1286  1344 0.67 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
