#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118095.1-p1      -           1215 1841at5820           -            929         0 1701.2  87.0   1   4  9.9e-149  2.2e-146  487.9  22.5     1   263     1   276     1   283 0.96 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 1841at5820           -            929         0 1701.2  87.0   2   4   3.7e-72   8.2e-70  234.5  17.3   257   420   336   512   326   515 0.90 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 1841at5820           -            929         0 1701.2  87.0   3   4   1.2e-57   2.6e-55  186.5   2.8   419   537   587   720   580   725 0.93 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 1841at5820           -            929         0 1701.2  87.0   4   4  2.9e-246  6.4e-244  810.7  20.6   538   928   810  1208   804  1209 0.99 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 1841at5820           -            929     6e-20   69.5  10.5   1   3   4.2e-13   9.4e-11   39.1   3.8    80   197    50   159    29   163 0.88 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 1841at5820           -            929     6e-20   69.5  10.5   2   3   1.1e-06   0.00024   17.9   0.1    72   139   168   234   159   247 0.85 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 1841at5820           -            929     6e-20   69.5  10.5   3   3   2.5e-08   5.5e-06   23.3   0.1    36   135   224   321   223   324 0.93 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 1841at5820           -            929   2.5e-17   60.8  14.6   1   5   1.4e-07   3.2e-05   20.8   0.0    91   158   103   171    88   173 0.87 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 1841at5820           -            929   2.5e-17   60.8  14.6   2   5   1.5e-08   3.4e-06   24.0   0.1    73   159   127   214   121   226 0.90 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 1841at5820           -            929   2.5e-17   60.8  14.6   3   5   8.5e-06    0.0019   14.9   1.8    84   162   343   424   337   447 0.79 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 1841at5820           -            929   2.5e-17   60.8  14.6   4   5   3.2e-06   0.00071   16.3   0.1   105   188   491   566   461   570 0.64 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 1841at5820           -            929   2.5e-17   60.8  14.6   5   5   0.00074      0.16    8.5   0.1   575   611   623   659   616   660 0.88 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 1841at5820           -            929   1.9e-16   57.9  12.3   1   3   7.7e-10   1.7e-07   28.3   0.3    54   151   350   449   340   457 0.82 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 1841at5820           -            929   1.9e-16   57.9  12.3   2   3   5.4e-10   1.2e-07   28.8   0.2    91   196   431   528   430   529 0.93 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 1841at5820           -            929   1.9e-16   57.9  12.3   3   3   1.8e-08   3.9e-06   23.8   1.8   554   697   462   605   460   632 0.78 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 1841at5820           -            929   2.8e-16   57.3  13.2   1   4         7   1.6e+03   -4.7   5.7   286   321   146   172    78   199 0.64 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 1841at5820           -            929   2.8e-16   57.3  13.2   2   4   6.3e-10   1.4e-07   28.6   0.6    41   138   249   352   215   353 0.79 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 1841at5820           -            929   2.8e-16   57.3  13.2   3   4   3.4e-12   7.5e-10   36.1   0.2    91   210   347   458   345   475 0.88 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 1841at5820           -            929   2.8e-16   57.3  13.2   4   4   3.2e-06   0.00071   16.3   1.4    73   230   414   575   410   582 0.79 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 1841at5820           -            929   3.6e-16   57.0   8.6   1   3     0.023       5.1    3.5   0.1   581   613    18    52     7    60 0.85 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 1841at5820           -            929   3.6e-16   57.0   8.6   2   3   6.3e-09   1.4e-06   25.3   0.2   578   663    66   150    58   154 0.86 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 1841at5820           -            929   3.6e-16   57.0   8.6   3   3   3.5e-11   7.7e-09   32.7   1.2   574   695   147   268   144   283 0.87 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 1841at5820           -            929   4.3e-15   53.4  13.5   1   3      0.11        25    1.2   1.6    85   159   147   222   131   230 0.71 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
