#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114695.1-p1      -            820 3374at5820           -            638         0 1084.9  62.3   1   4   1.1e-45     2e-42  144.0   5.0     1   114     7   147     7   167 0.82 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 3374at5820           -            638         0 1084.9  62.3   2   4   5.8e-28   1.1e-24   85.4   4.0   124   180   191   247   155   252 0.86 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 3374at5820           -            638         0 1084.9  62.3   3   4  7.1e-132  1.3e-128  428.7   7.9   178   400   280   509   266   515 0.95 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 3374at5820           -            638         0 1084.9  62.3   4   4  7.5e-136  1.4e-132  441.8  22.9   393   638   555   819   551   819 0.93 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 3374at5820           -            638   1.9e-37  127.5  18.6   1   2     0.037        69    0.2   0.2    50    95    73   119    35   125 0.78 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 3374at5820           -            638   1.9e-37  127.5  18.6   2   2     1e-40   1.9e-37  127.5  18.6   144   522   130   518   117   530 0.77 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 3374at5820           -            638   2.3e-30  104.1  56.3   1   4     0.027        50    0.6   5.3    53   132    78   159    50   170 0.78 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 3374at5820           -            638   2.3e-30  104.1  56.3   2   4   5.8e-16   1.1e-12   45.8   7.1   121   268   680   850   658   857 0.76 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 3374at5820           -            638   2.3e-30  104.1  56.3   3   4   7.6e-16   1.4e-12   45.4  22.2   268   448   979  1192   953  1209 0.67 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 3374at5820           -            638   2.3e-30  104.1  56.3   4   4   3.2e-10   5.9e-07   26.8   0.3   458   525  1363  1430  1354  1439 0.93 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3374at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3374at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3374at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:37 2026
# [ok]
