#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   1  12   2.6e-16   7.2e-13   45.3  21.0     1    60     1    67     1    72 0.87 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   2  12    1e-145  2.8e-142  473.9 104.4    48   355    76   395    69   398 0.95 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   3  12   7.5e-29   2.1e-25   86.9  28.9   350   462   429   548   414   550 0.77 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   4  12   1.1e-72     3e-69  232.1  46.4   425   637   539   768   537   821 0.88 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   5  12   3.7e-22     1e-18   64.7  16.1   635   727   823   926   801   947 0.84 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   6  12   3.6e-14   9.9e-11   38.2  23.5   695   821   978  1107   950  1144 0.77 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   7  12     7e-11   1.9e-07   27.3  17.2   712   855  1092  1228  1084  1236 0.78 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   8  12   7.3e-25     2e-21   73.6   8.9   840   906  1307  1373  1295  1383 0.88 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   9  12     1e-59   2.8e-56  189.1  10.2   882  1043  1398  1594  1391  1599 0.84 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5  10  12   5.3e-42   1.5e-38  130.4   3.0  1045  1129  1621  1712  1616  1717 0.92 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5  11  12    0.0025       6.9    2.3   4.3  1120  1152  1744  1776  1726  1779 0.74 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
