#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092930.1-p1      -            797 4394at5820           -            638         0 1125.6  70.6   1   2  1.2e-300  6.7e-298  987.9  60.5     1   520     1   538     1   568 0.97 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 4394at5820           -            638         0 1125.6  70.6   2   2   4.8e-45   2.7e-42  143.5   2.4   526   638   669   788   660   788 0.92 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095265.1-p1      -           1285 4394at5820           -            638   3.2e-31  106.9  32.4   1   2   4.3e-19   2.4e-16   57.7   5.3     4   155   508   651   505   657 0.78 | transcript=PVX_095265.1 | gene=PVX_095265 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr08:943814-947671(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095265.1-p1      -           1285 4394at5820           -            638   3.2e-31  106.9  32.4   2   2   6.4e-18   3.5e-15   53.9  19.3   189   452   667   933   656   940 0.67 | transcript=PVX_095265.1 | gene=PVX_095265 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr08:943814-947671(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 4394at5820           -            638   1.6e-30  104.6  14.6   1   3       3.5     2e+03   -4.7   1.0   395   435   223   263   196   277 0.51 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 4394at5820           -            638   1.6e-30  104.6  14.6   2   3   2.8e-33   1.6e-30  104.6  14.6    27   377   818  1144   795  1203 0.79 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 4394at5820           -            638   1.6e-30  104.6  14.6   3   3        10   5.5e+03  -10.2  17.9   440   574  1320  1453  1256  1474 0.71 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 4394at5820           -            638   7.6e-25   85.8  34.7   1   7   4.2e-21   2.3e-18   64.4  22.5     3   244   162   412   160   420 0.82 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 4394at5820           -            638   7.6e-25   85.8  34.7   2   7   3.7e-13     2e-10   38.2   4.2   245   371   496   607   491   693 0.80 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 4394at5820           -            638   7.6e-25   85.8  34.7   3   7       2.8   1.5e+03   -4.4   2.6   460   572  1025  1057   990  1081 0.55 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 4394at5820           -            638   7.6e-25   85.8  34.7   4   7        10   5.5e+03  -12.8  34.1   381   579  1378  1568  1359  1584 0.39 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 4394at5820           -            638   7.6e-25   85.8  34.7   5   7      0.83   4.6e+02   -2.6   4.1   477   503  1711  1736  1693  1771 0.58 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 4394at5820           -            638   7.6e-25   85.8  34.7   6   7        10   5.5e+03   -8.9   8.5   410   464  1869  1923  1853  1949 0.48 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 4394at5820           -            638   7.6e-25   85.8  34.7   7   7      0.46   2.6e+02   -1.8   2.4   460   514  3022  3083  3020  3090 0.71 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 4394at5820           -            638   2.3e-23   80.9  30.8   1   6   4.1e-26   2.3e-23   80.9  30.8    48   500    92   553    56   655 0.73 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 4394at5820           -            638   2.3e-23   80.9  30.8   2   6       1.8   9.8e+02   -3.8   4.2   379   433   592   647   576   723 0.69 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 4394at5820           -            638   2.3e-23   80.9  30.8   3   6      0.32   1.8e+02   -1.3   0.5   532   577   849   891   783   930 0.69 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 4394at5820           -            638   2.3e-23   80.9  30.8   4   6       4.7   2.6e+03   -5.1  15.6   462   627  1014  1178   994  1188 0.67 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 4394at5820           -            638   2.3e-23   80.9  30.8   5   6        10   5.5e+03  -17.0  34.1   411   634  1106  1359  1097  1363 0.73 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 4394at5820           -            638   2.3e-23   80.9  30.8   6   6        10   5.5e+03   -8.4   8.1   486   556  1601  1675  1559  1677 0.56 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 4394at5820           -            638   1.2e-20   71.9  55.0   1   3   6.5e-13   3.6e-10   37.3   4.8     4   109    24   123    22   166 0.82 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 4394at5820           -            638   1.2e-20   71.9  55.0   2   3   4.7e-13   2.6e-10   37.8  28.8   193   489   276   559   232   620 0.68 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 4394at5820           -            638   1.2e-20   71.9  55.0   3   3     0.017       9.2    2.9   5.4   480   568   815   912   805   966 0.60 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 4394at5820           -            638     3e-19   67.3  47.6   1   6   6.9e-14   3.8e-11   40.5  10.7     2   109   109   216   108   226 0.85 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 4394at5820           -            638     3e-19   67.3  47.6   2   6   1.9e-07    0.0001   19.3  13.1   154   306   306   444   235   453 0.74 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 4394at5820           -            638     3e-19   67.3  47.6   3   6   2.4e-13   1.3e-10   38.8   7.8   316   451   515   647   512   711 0.64 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
