#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085330.1-p1      -            518 6247at5820           -            432  2.7e-255  845.1  32.3   1   1  2.7e-256  1.7e-253  839.2  32.3     1   432     1   475     1   475 0.95 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 6247at5820           -            432   2.3e-18   64.4   2.3   1   4       1.1   6.6e+02   -3.0   0.2   261   295   120   154   112   161 0.56 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 6247at5820           -            432   2.3e-18   64.4   2.3   2   4   5.3e-10   3.2e-07   27.7   0.0   173   238   336   401   288   424 0.90 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 6247at5820           -            432   2.3e-18   64.4   2.3   3   4   7.3e-12   4.5e-09   33.8   0.1   282   336   529   584   520   609 0.84 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 6247at5820           -            432   2.3e-18   64.4   2.3   4   4      0.15        94   -0.2   0.0   402   430   674   702   653   704 0.81 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084710.1-p1      -            417 6247at5820           -            432   1.4e-13   48.6   6.6   1   1   4.6e-15   2.8e-12   44.3   6.6   178   302   102   223    97   328 0.82 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 6247at5820           -            432   5.1e-07   27.0   1.2   1   2   1.1e-08   6.7e-06   23.3   0.2   278   339   102   166    90   181 0.77 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 6247at5820           -            432   5.1e-07   27.0   1.2   2   2     0.033        20    2.0   0.0   218   248   333   360   324   394 0.76 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000715.1-p1      -            765 6247at5820           -            432   3.6e-06   24.2   4.8   1   3     0.011       6.9    3.5   0.1   124   194   341   414   334   457 0.82 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000715.1-p1      -            765 6247at5820           -            432   3.6e-06   24.2   4.8   2   3   4.2e-08   2.6e-05   21.4   0.2   271   339   514   586   488   613 0.76 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000715.1-p1      -            765 6247at5820           -            432   3.6e-06   24.2   4.8   3   3      0.27   1.7e+02   -1.0   0.1   316   379   624   685   617   709 0.68 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080570.1-p1      -            288 6247at5820           -            432   0.00014   19.0   0.0   1   1   3.7e-07   0.00023   18.3   0.0   282   335    85   139    54   160 0.86 | transcript=PVX_080570.1 | gene=PVX_080570 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr10:771147-773350(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 6247at5820           -            432   0.00095   16.2   0.0   1   3   1.5e-06   0.00095   16.2   0.0   276   337    59   122    53   161 0.76 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 6247at5820           -            432   0.00095   16.2   0.0   2   3      0.24   1.5e+02   -0.9   0.5   181   266   137   233   125   240 0.57 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 6247at5820           -            432   0.00095   16.2   0.0   3   3       2.1   1.3e+03   -4.0   0.2    87   122   309   343   304   352 0.56 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 6247at5820           -            432   0.00099   16.2   0.0   1   3   1.6e-06   0.00099   16.2   0.0   276   337    58   121    52   163 0.76 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 6247at5820           -            432   0.00099   16.2   0.0   2   3      0.24   1.5e+02   -0.9   0.4   181   266   136   232   124   239 0.56 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 6247at5820           -            432   0.00099   16.2   0.0   3   3       2.1   1.3e+03   -4.0   0.2    87   122   308   342   303   353 0.57 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 6247at5820           -            432    0.0012   15.9   0.0   1   3   1.9e-06    0.0012   15.9   0.0   276   336    58   120    52   129 0.74 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 6247at5820           -            432    0.0012   15.9   0.0   2   3      0.22   1.4e+02   -0.7   0.5   181   266   136   232   126   241 0.57 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 6247at5820           -            432    0.0012   15.9   0.0   3   3         2   1.2e+03   -3.9   0.2    87   121   308   341   303   349 0.54 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6247at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6247at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6247at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:40 2026
# [ok]
