#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122230.1-p1      -            713 5598at5820           -            537  1.1e-262  870.9 113.6   1   2   1.1e-80   6.8e-78  260.9  67.3     2   237     6   346     5   351 0.79 | transcript=PVX_122230.1 | gene=PVX_122230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:398997-401138(+) | protein_length=713 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122230.1-p1      -            713 5598at5820           -            537  1.1e-262  870.9 113.6   2   2  1.8e-183  1.1e-180  600.2  38.3   231   537   365   713   361   713 0.97 | transcript=PVX_122230.1 | gene=PVX_122230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:398997-401138(+) | protein_length=713 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091590.1-p1      -            368 5598at5820           -            537     0.081    9.9  15.2   1   2   1.2e-05    0.0071   13.4  10.6    84   182    44   161    18   206 0.61 | transcript=PVX_091590.1 | gene=PVX_091590 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA methyltransferase, putative | transcript_product=tRNA methyltransferase, putative | location=Pv_Sal1_chr09:630720-632353(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091590.1-p1      -            368 5598at5820           -            537     0.081    9.9  15.2   2   2      0.81     5e+02   -2.6   0.1   223   265   271   313   250   322 0.65 | transcript=PVX_091590.1 | gene=PVX_091590 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA methyltransferase, putative | transcript_product=tRNA methyltransferase, putative | location=Pv_Sal1_chr09:630720-632353(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089000.1-p1      -           1200 5598at5820           -            537      0.43    7.5   7.9   1   1    0.0012      0.75    6.7   7.9    80   141  1023  1085   994  1095 0.59 | transcript=PVX_089000.1 | gene=PVX_089000 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr05:215292-218894(-) | protein_length=1200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101375.1-p1      -             58 5598at5820           -            537      0.44    7.5   7.2   1   1    0.0008      0.49    7.3   7.2    81   121    15    55    11    58 0.27 | transcript=PVX_101375.1 | gene=PVX_101375 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr14:2835429-2835762(+) | protein_length=58 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087855.1-p1      -            162 5598at5820           -            537       1.5    5.7   8.5   1   1     0.003       1.9    5.4   8.5    69   146     7    84     2    97 0.44 | transcript=PVX_087855.1 | gene=PVX_087855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr01:226213-226910(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 5598at5820           -            537       1.8    5.5  20.6   1   1    0.0051       3.1    4.6  20.6    60   164    47   156    29   181 0.49 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003550.1-p1      -            257 5598at5820           -            537       2.5    5.0  16.0   1   1    0.0057       3.5    4.5  16.0    82   157    98   179    76   204 0.46 | transcript=PVX_003550.1 | gene=PVX_003550 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr04:796619-797662(-) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122270.1-p1      -            467 5598at5820           -            537       3.4    4.5  11.7   1   1     0.009       5.6    3.8  11.7    71   131    75   136    64   146 0.55 | transcript=PVX_122270.1 | gene=PVX_122270 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=Pv_Sal1_chr14:443954-447043(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118010.1-p1      -             84 5598at5820           -            537       4.8    4.0  26.9   1   1      0.01       6.2    3.7  26.9    87   150    13    78     3    83 0.58 | transcript=PVX_118010.1 | gene=PVX_118010 | organism=Plasmodium_vivax_Sal-1 | gene_product=Histone H1, gonadal, putative | transcript_product=Histone H1, gonadal, putative | location=Pv_Sal1_chr12:2326684-2326938(+) | protein_length=84 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
