#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113350.1-p1      -            495 6834at5820           -            382  7.2e-203  672.4  21.9   1   3  9.8e-107  1.8e-103  345.2   9.8     2   204     5   222     4   228 0.93 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113350.1-p1      -            495 6834at5820           -            382  7.2e-203  672.4  21.9   2   3   9.2e-16   1.7e-12   45.8   0.0   197   231   248   282   246   288 0.95 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113350.1-p1      -            495 6834at5820           -            382  7.2e-203  672.4  21.9   3   3   3.6e-89   6.7e-86  287.4   2.0   230   382   331   490   323   490 0.96 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100545.1-p1      -            539 6834at5820           -            382   6.4e-16   57.0  11.6   1   4   0.00069       1.3    6.7   0.2    14    72    62   124    51   137 0.82 | transcript=PVX_100545.1 | gene=PVX_100545 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr14:2183100-2184926(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100545.1-p1      -            539 6834at5820           -            382   6.4e-16   57.0  11.6   2   4   2.4e-17   4.4e-14   51.0   2.0   118   212   200   299   196   311 0.82 | transcript=PVX_100545.1 | gene=PVX_100545 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr14:2183100-2184926(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100545.1-p1      -            539 6834at5820           -            382   6.4e-16   57.0  11.6   3   4     0.007        13    3.4   0.2   258   280   311   333   301   340 0.85 | transcript=PVX_100545.1 | gene=PVX_100545 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr14:2183100-2184926(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100545.1-p1      -            539 6834at5820           -            382   6.4e-16   57.0  11.6   4   4      0.11   2.1e+02   -0.6   0.0   331   378   479   530   419   533 0.55 | transcript=PVX_100545.1 | gene=PVX_100545 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr14:2183100-2184926(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081300.1-p1      -            569 6834at5820           -            382     9e-11   40.1   1.5   1   3       0.4   7.3e+02   -2.4   1.8    77   137   228   291   221   294 0.65 | transcript=PVX_081300.1 | gene=PVX_081300 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=Pv_Sal1_chr02:238364-240073(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081300.1-p1      -            569 6834at5820           -            382     9e-11   40.1   1.5   2   3   4.9e-14     9e-11   40.1   1.5     8   211   298   528   293   540 0.74 | transcript=PVX_081300.1 | gene=PVX_081300 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=Pv_Sal1_chr02:238364-240073(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081300.1-p1      -            569 6834at5820           -            382     9e-11   40.1   1.5   3   3    0.0061        11    3.6   0.0   258   281   540   563   536   567 0.88 | transcript=PVX_081300.1 | gene=PVX_081300 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=Pv_Sal1_chr02:238364-240073(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
