#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1   1  11  1.9e-252  3.6e-249  828.2  54.1     1   422     1   433     1   460 0.97 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1   2  11     6e-09   1.1e-05   22.1   0.0   422   460   469   513   466   520 0.85 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1   3  11   7.3e-08   0.00014   18.5   0.0   490   529   622   664   569   676 0.70 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1   4  11   1.7e-41   3.1e-38  129.9   0.2   533   616   710   793   705   798 0.96 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1   5  11   2.1e-19   3.8e-16   56.7   1.0   614   677   846   914   836   919 0.85 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1   6  11    0.0036       6.7    3.0   0.0   671   696   947   972   940   984 0.79 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1   7  11   1.7e-06    0.0032   14.0   0.1   694   719  1025  1050  1008  1060 0.83 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1   8  11   1.1e-42     2e-39  133.8   2.5   723   809  1193  1293  1186  1307 0.86 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1   9  11   3.4e-23   6.3e-20   69.3   0.1   807   862  1390  1445  1368  1451 0.82 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1  10  11   4.9e-42     9e-39  131.6  11.0   862   978  1473  1619  1468  1621 0.77 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124140.1-p1      -           1757 1450at5820           -           1044         0 1488.0 112.1  11  11   4.7e-34   8.6e-31  105.2   0.3   977  1044  1679  1749  1676  1749 0.96 | transcript=PVX_124140.1 | gene=PVX_124140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2084173-2091377(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097895.1-p1      -            748 1450at5820           -           1044   5.8e-05   19.7  12.7   1   1   4.3e-08   7.9e-05   19.3  12.7   140   243   351   453   343   486 0.83 | transcript=PVX_097895.1 | gene=PVX_097895 | organism=Plasmodium_vivax_Sal-1 | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=Pv_Sal1_chr10:1063010-1065256(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116570.1-p1      -            547 1450at5820           -           1044      0.01   12.2  16.2   1   1   8.1e-06     0.015   11.7  16.2   124   271   341   482   297   492 0.79 | transcript=PVX_116570.1 | gene=PVX_116570 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=Pv_Sal1_chr12:1096772-1098415(-) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1450at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1450at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1450at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:36 2026
# [ok]
