#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6   1  12  6.6e-154  3.7e-150  500.1   5.3     2   263    40   301    39   322 0.96 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6   2  12  4.2e-129  2.3e-125  417.8   1.3   249   509   356   629   349   637 0.95 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6   3  12     2e-80   1.1e-76  256.5   9.4   506   666   650   809   646   823 0.95 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6   4  12   1.1e-43   5.8e-40  134.7   0.0   676   788   889  1014   879  1020 0.85 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6   5  12   8.7e-71   4.8e-67  224.5   0.6   788  1000  1054  1298  1051  1305 0.84 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6   6  12   3.6e-55     2e-51  172.8   4.6  1007  1150  1332  1489  1322  1503 0.89 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6   7  12   9.9e-14   5.5e-10   35.4   0.0  1152  1188  1536  1572  1527  1576 0.90 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6   8  12   3.3e-46   1.8e-42  143.0   0.1  1186  1278  1607  1701  1604  1716 0.92 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6   9  12     2e-14   1.1e-10   37.7   0.0  1283  1333  1798  1848  1791  1854 0.86 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6  10  12   2.4e-18   1.3e-14   50.7   0.0  1341  1410  1934  2008  1899  2015 0.77 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6  11  12   1.2e-62   6.8e-59  197.5   5.9  1417  1569  2088  2274  2074  2279 0.82 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087995.1-p1      -           2443 2879at5820           -           1693         0 2345.6  68.6  12  12   9.1e-61     5e-57  191.3   0.4  1576  1691  2322  2441  2313  2443 0.93 | transcript=PVX_087995.1 | gene=PVX_087995 | organism=Plasmodium_vivax_Sal-1 | gene_product=cloroquine resistance associated protein Cg2, putative | transcript_product=cloroquine resistance associated protein Cg2, putative | location=Pv_Sal1_chr01:342633-349964(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2879at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2879at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2879at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:17 2026
# [ok]
