#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003790.1-p1      -            706 3809at5820           -            594         0 1078.0  32.0   1   2  1.2e-292  3.4e-290  962.0  17.8     7   511    22   558    15   576 0.92 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 3809at5820           -            594         0 1078.0  32.0   2   2   2.9e-38     8e-36  122.0   6.2   506   594   612   706   591   706 0.82 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003820.1-p1      -           1089 3809at5820           -            594   1.2e-73  246.9  25.7   1   3     2e-13   5.6e-11   40.0   3.5    23   178   316   487   307   493 0.76 | transcript=PVX_003820.1 | gene=PVX_003820 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA), putative | transcript_product=serine-repeat antigen 4 (SERA), putative | location=Pv_Sal1_chr04:583217-586852(+) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003820.1-p1      -           1089 3809at5820           -            594   1.2e-73  246.9  25.7   2   3   3.3e-62   9.1e-60  201.1   3.9   197   478   535   813   532   828 0.91 | transcript=PVX_003820.1 | gene=PVX_003820 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA), putative | transcript_product=serine-repeat antigen 4 (SERA), putative | location=Pv_Sal1_chr04:583217-586852(+) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003820.1-p1      -           1089 3809at5820           -            594   1.2e-73  246.9  25.7   3   3   1.3e-06   0.00035   17.5   2.7   517   592  1010  1087   994  1089 0.76 | transcript=PVX_003820.1 | gene=PVX_003820 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA), putative | transcript_product=serine-repeat antigen 4 (SERA), putative | location=Pv_Sal1_chr04:583217-586852(+) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003805.1-p1      -           1136 3809at5820           -            594   1.3e-70  236.9  21.9   1   3   1.2e-12   3.2e-10   37.4   0.2    23   177   331   501   323   506 0.72 | transcript=PVX_003805.1 | gene=PVX_003805 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:596283-600192(+) | protein_length=1136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003805.1-p1      -           1136 3809at5820           -            594   1.3e-70  236.9  21.9   2   3   1.6e-60   4.4e-58  195.5   6.3   202   480   550   823   541   852 0.90 | transcript=PVX_003805.1 | gene=PVX_003805 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:596283-600192(+) | protein_length=1136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003805.1-p1      -           1136 3809at5820           -            594   1.3e-70  236.9  21.9   3   3   3.5e-05    0.0098   12.7   2.9   520   592  1060  1134  1051  1136 0.78 | transcript=PVX_003805.1 | gene=PVX_003805 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:596283-600192(+) | protein_length=1136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003810.1-p1      -            974 3809at5820           -            594   1.1e-69  233.8  24.2   1   3   1.2e-10   3.3e-08   30.8   4.1    23   177   246   416   229   419 0.75 | transcript=PVX_003810.1 | gene=PVX_003810 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA), putative | transcript_product=serine-repeat antigen 5 (SERA), putative | location=Pv_Sal1_chr04:591516-595104(+) | protein_length=974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003810.1-p1      -            974 3809at5820           -            594   1.1e-69  233.8  24.2   2   3   6.2e-60   1.7e-57  193.6   7.0   204   487   468   746   456   771 0.88 | transcript=PVX_003810.1 | gene=PVX_003810 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA), putative | transcript_product=serine-repeat antigen 5 (SERA), putative | location=Pv_Sal1_chr04:591516-595104(+) | protein_length=974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003810.1-p1      -            974 3809at5820           -            594   1.1e-69  233.8  24.2   3   3   6.1e-07   0.00017   18.6   0.2   508   592   884   972   848   974 0.72 | transcript=PVX_003810.1 | gene=PVX_003810 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA), putative | transcript_product=serine-repeat antigen 5 (SERA), putative | location=Pv_Sal1_chr04:591516-595104(+) | protein_length=974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
