#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084710.1-p1      -            417 7633at5820           -            353  2.6e-204  676.4  12.3   1   2   1.7e-09   2.4e-06   25.2   0.0     1    26    11    36    11    44 0.93 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084710.1-p1      -            417 7633at5820           -            353  2.6e-204  676.4  12.3   2   2  1.2e-199  1.7e-196  650.7  10.9    26   353    72   417    66   417 0.96 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 7633at5820           -            353   1.7e-11   42.1   0.6   1   3      0.75     1e+03   -3.2   0.1   111   145    39    73    28   168 0.61 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 7633at5820           -            353   1.7e-11   42.1   0.6   2   3   1.3e-14   1.7e-11   42.1   0.6    56   170   218   343   211   356 0.76 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 7633at5820           -            353   1.7e-11   42.1   0.6   3   3     0.015        21    2.4   0.1   202   239   355   390   346   425 0.65 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000715.1-p1      -            765 7633at5820           -            353   2.8e-06   25.0  12.2   1   3   3.4e-06    0.0047   14.4   0.7    34    95   375   444   349   450 0.73 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000715.1-p1      -            765 7633at5820           -            353   2.8e-06   25.0  12.2   2   3   4.6e-06    0.0063   14.0   1.1   135   172   516   553   473   570 0.70 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000715.1-p1      -            765 7633at5820           -            353   2.8e-06   25.0  12.2   3   3      0.01        14    2.9   0.2   212   270   570   631   560   669 0.68 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 7633at5820           -            353     0.002   15.7   7.6   1   4   0.00084       1.2    6.5   0.1   150   171   107   128    98   137 0.83 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 7633at5820           -            353     0.002   15.7   7.6   2   4      0.14   1.9e+02   -0.7   0.0   201   235   139   172   131   182 0.71 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 7633at5820           -            353     0.002   15.7   7.6   3   4      0.83   1.2e+03   -3.3   0.2   189   208   291   310   270   314 0.65 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 7633at5820           -            353     0.002   15.7   7.6   4   4   1.9e-05     0.026   11.9   0.1    89   143   334   390   326   457 0.88 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7633at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7633at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7633at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:23 2026
# [ok]
