#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117510.1-p1      -            787 4750at5820           -            475  1.4e-286  948.7  33.5   1   3     3e-14     5e-12   43.3   0.3     1    44    96   142    96   159 0.77 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 4750at5820           -            475  1.4e-286  948.7  33.5   2   3   2.3e-10   3.9e-08   30.5   5.4    22    67   294   342   282   359 0.82 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 4750at5820           -            475  1.4e-286  948.7  33.5   3   3  2.2e-269  3.8e-267  884.6  14.8    59   473   359   784   349   786 0.97 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117030.1-p1      -            398 4750at5820           -            475   2.4e-70  235.7   3.8   1   1   3.5e-70   5.9e-68  227.8   3.8    72   462    23   390    10   396 0.88 | transcript=PVX_117030.1 | gene=PVX_117030 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr12:1473842-1475384(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090175.1-p1      -            388 4750at5820           -            475   9.1e-68  227.2   6.0   1   1   1.1e-67   1.8e-65  219.6   6.0    72   464    15   382     5   388 0.92 | transcript=PVX_090175.1 | gene=PVX_090175 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic initiation factor, putative | transcript_product=eukaryotic initiation factor, putative | location=Pv_Sal1_chr05:1214128-1215294(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 4750at5820           -            475     2e-53  179.8   1.9   1   2   9.6e-39   1.6e-36  124.1   0.3    72   331    60   322    37   331 0.88 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 4750at5820           -            475     2e-53  179.8   1.9   2   2     9e-18   1.5e-15   55.0   0.1   358   452   331   413   327   423 0.90 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003945.1-p1      -            473 4750at5820           -            475   4.8e-43  145.6   5.2   1   2   4.8e-06    0.0008   16.3   0.0    23   137     3   123     1   139 0.72 | transcript=PVX_003945.1 | gene=PVX_003945 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=Pv_Sal1_chr04:475709-477283(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003945.1-p1      -            473 4750at5820           -            475   4.8e-43  145.6   5.2   2   2     2e-37   3.4e-35  119.7   4.1   133   462   155   461   129   469 0.86 | transcript=PVX_003945.1 | gene=PVX_003945 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=Pv_Sal1_chr04:475709-477283(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 4750at5820           -            475   9.9e-37  124.8   5.7   1   2   1.2e-06   0.00021   18.2   0.0    60   135   266   339   241   344 0.81 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 4750at5820           -            475   9.9e-37  124.8   5.7   2   2   6.5e-31   1.1e-28   98.3   4.3   141   440   405   678   399   687 0.90 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
