#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117160.1-p1      -            878 2237at5820           -            757         0 1680.2   7.4   1   2  2.1e-211  6.2e-209  694.1   2.1     1   325     4   363     4   386 0.91 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 2237at5820           -            757         0 1680.2   7.4   2   2    2e-300  5.7e-298  988.5   0.3   327   757   438   878   416   878 0.97 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085730.1-p1      -            304 2237at5820           -            757   8.4e-66  220.8   0.5   1   1     5e-67   1.4e-64  216.7   0.5   423   719    31   296    24   301 0.89 | transcript=PVX_085730.1 | gene=PVX_085730 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=Pv_Sal1_chr13:1469870-1472025(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 2237at5820           -            757   1.2e-53  180.6   0.2   1   2   6.4e-08   1.9e-05   21.2   0.0   420   478  1129  1187  1093  1195 0.84 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 2237at5820           -            757   1.2e-53  180.6   0.2   2   2   5.7e-49   1.7e-46  157.0   0.1   482   709  1244  1505  1235  1524 0.76 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099685.1-p1      -            507 2237at5820           -            757   3.1e-53  179.2   0.5   1   1   9.7e-55   2.8e-52  176.1   0.5   419   707   214   477   193   487 0.89 | transcript=PVX_099685.1 | gene=PVX_099685 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=Pv_Sal1_chr07:964361-966052(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099825.1-p1      -            307 2237at5820           -            757   1.1e-50  170.8   1.2   1   1   3.7e-52   1.1e-49  167.5   1.2   419   706    18   274     7   280 0.89 | transcript=PVX_099825.1 | gene=PVX_099825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=Pv_Sal1_chr07:1067165-1068088(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119815.1-p1      -            308 2237at5820           -            757   6.9e-50  168.2   0.5   1   1   1.3e-51   3.9e-49  165.7   0.5   424   710    25   281    18   296 0.91 | transcript=PVX_119815.1 | gene=PVX_119815 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=Pv_Sal1_chr08:1182495-1183421(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093605.1-p1      -            564 2237at5820           -            757   5.5e-47  158.6   0.3   1   1     1e-48   2.9e-46  156.2   0.3   431   707    64   324    55   338 0.84 | transcript=PVX_093605.1 | gene=PVX_093605 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=Pv_Sal1_chr01:672200-674439(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 2237at5820           -            757   1.2e-42  144.2   0.3   1   1   1.2e-44   3.4e-42  142.7   0.3   424   707   400   660   377   675 0.84 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 2237at5820           -            757   9.6e-36  121.4   2.6   1   1     8e-38   2.3e-35  120.1   2.6   440   726   231   498   163   512 0.82 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091910.1-p1      -            566 2237at5820           -            757   8.2e-26   88.6   1.3   1   2   1.3e-11   3.8e-09   33.5   0.1   124   256   156   286   147   293 0.88 | transcript=PVX_091910.1 | gene=PVX_091910 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr09:938945-941234(-) | protein_length=566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091910.1-p1      -            566 2237at5820           -            757   8.2e-26   88.6   1.3   2   2   7.7e-18   2.2e-15   54.0   0.1    10   156   301   456   295   475 0.78 | transcript=PVX_091910.1 | gene=PVX_091910 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr09:938945-941234(-) | protein_length=566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 2237at5820           -            757   1.2e-15   54.9   0.4   1   2     3e-12   8.7e-10   35.6   0.1    14   197    77   260    71   292 0.83 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 2237at5820           -            757   1.2e-15   54.9   0.4   2   2   1.6e-06   0.00047   16.6   0.0    14   110   340   430   323   464 0.75 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084565.1-p1      -           1411 2237at5820           -            757   6.2e-15   52.6   1.6   1   2    0.0011      0.32    7.2   0.0    49   109   240   307   229   324 0.75 | transcript=PVX_084565.1 | gene=PVX_084565 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:429525-433760(-) | protein_length=1411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084565.1-p1      -           1411 2237at5820           -            757   6.2e-15   52.6   1.6   2   2   2.9e-14   8.4e-12   42.2   1.4   107   297   611   832   602   853 0.72 | transcript=PVX_084565.1 | gene=PVX_084565 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:429525-433760(-) | protein_length=1411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
