#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2   1  12   2.8e-25   1.6e-21   74.0   0.6    30   107   680   759   669   763 0.91 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2   2  12  4.2e-133  2.3e-129  431.3  24.8   106   371   784  1075   779  1084 0.90 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2   3  12   1.2e-35   6.7e-32  108.4   0.1   366   442  1115  1192  1107  1209 0.92 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2   4  12     3e-75   1.7e-71  239.6   8.2   453   605  1278  1448  1274  1471 0.91 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2   5  12   2.5e-74   1.4e-70  236.6  16.1   605   741  1488  1624  1464  1637 0.95 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2   6  12   3.2e-30   1.8e-26   90.4   1.4   740   818  1672  1750  1667  1762 0.92 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2   7  12   1.3e-07   0.00074   15.5   0.0   819   850  1785  1816  1781  1845 0.86 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2   8  12   2.9e-27   1.6e-23   80.6   0.3   860   920  1892  1956  1886  1964 0.87 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2   9  12   9.8e-68   5.4e-64  214.7   8.3   921  1062  2000  2141  1997  2159 0.95 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2  10  12   1.2e-06    0.0068   12.3   0.7  1056  1083  2261  2288  2257  2290 0.92 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095095.1-p1      -           2722 590at5820            -           1357         0 1768.5 146.2  11  12   1.1e-50   5.8e-47  158.3   2.5  1066  1226  2325  2515  2315  2530 0.82 | transcript=PVX_095095.1 | gene=PVX_095095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:787707-796058(+) | protein_length=2722 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
