#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114740.1-p1      -            994 4937at5820           -            604  7.8e-275  911.3  56.6   1   5   2.6e-74   2.4e-71  239.2  29.0     1   190    58   266    58   288 0.89 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 4937at5820           -            604  7.8e-275  911.3  56.6   2   5   4.5e-14   4.1e-11   40.3   0.0   177   218   394   435   387   443 0.91 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 4937at5820           -            604  7.8e-275  911.3  56.6   3   5   1.7e-45   1.6e-42  144.1   1.6   218   310   465   564   462   569 0.93 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 4937at5820           -            604  7.8e-275  911.3  56.6   4   5   3.6e-92   3.3e-89  298.2   1.4   310   484   645   824   640   838 0.93 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 4937at5820           -            604  7.8e-275  911.3  56.6   5   5   2.7e-64   2.5e-61  206.1   1.0   477   604   864   994   859   994 0.97 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116940.1-p1      -            443 4937at5820           -            604   6.1e-17   59.5   2.1   1   1     1e-19   9.2e-17   58.9   2.1   473   547   335   409   327   441 0.82 | transcript=PVX_116940.1 | gene=PVX_116940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1410135-1411635(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4937at5820           -            604   1.7e-08   31.6  22.0   1   4      0.37   3.4e+02   -2.4   0.6    20    62   443   485   429   547 0.58 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4937at5820           -            604   1.7e-08   31.6  22.0   2   4     0.016        15    2.1   5.4   259   358   692   798   611   804 0.77 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4937at5820           -            604   1.7e-08   31.6  22.0   3   4   0.00012      0.11    9.2   0.1   366   462   856   952   845   957 0.81 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 4937at5820           -            604   1.7e-08   31.6  22.0   4   4   2.6e-11   2.4e-08   31.1   0.2   477   535  1024  1081  1015  1104 0.82 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091795.1-p1      -            735 4937at5820           -            604   5.4e-07   26.7   5.0   1   2     0.044        40    0.7   1.8    18   107   295   393   280   403 0.73 | transcript=PVX_091795.1 | gene=PVX_091795 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:854298-856505(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
