#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123515.1-p1      -           1104 2816at5820           -            697         0 1282.8  42.4   1   5    0.0036         4    4.1   0.3     1    50     1    49     1    72 0.69 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 2816at5820           -            697         0 1282.8  42.4   2   5   6.6e-06    0.0073   13.1   0.3    61    82   285   306   270   336 0.79 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 2816at5820           -            697         0 1282.8  42.4   3   5     0.026        29    1.2   1.1    24   102   339   416   332   420 0.65 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 2816at5820           -            697         0 1282.8  42.4   4   5   3.9e-27   4.3e-24   83.3   0.2   100   152   461   513   450   517 0.91 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 2816at5820           -            697         0 1282.8  42.4   5   5         0         0 1197.2  17.3   147   697   546  1096   522  1096 0.98 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000810.1-p1      -            843 2816at5820           -            697   6.7e-99  330.5   6.1   1   1  7.5e-102   8.3e-99  330.2   6.1   105   683   245   832   224   842 0.90 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099575.1-p1      -            783 2816at5820           -            697   1.5e-75  253.4  13.1   1   1   1.8e-78     2e-75  253.0  13.1    63   579   158   680   138   743 0.85 | transcript=PVX_099575.1 | gene=PVX_099575 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=Pv_Sal1_chr07:886026-888377(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 2816at5820           -            697   1.4e-38  131.1  10.6   1   2   1.3e-24   1.5e-21   74.9   2.3   103   315    44   271    26   283 0.79 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 2816at5820           -            697   1.4e-38  131.1  10.6   2   2   4.1e-20   4.6e-17   60.0   1.3   372   671   349   639   339   651 0.78 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 2816at5820           -            697   8.6e-20   69.1   7.8   1   4   1.4e-13   1.6e-10   38.4   0.1   107   312    66   260    61   271 0.78 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 2816at5820           -            697   8.6e-20   69.1   7.8   2   4   6.4e-08   7.1e-05   19.7   0.1   364   476   364   471   356   478 0.86 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
