#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   1  11  2.3e-130  6.4e-127  423.0  12.1     1   243     1   252     1   260 0.90 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   2  11     0.002       5.5    2.1  23.4   211   356   258   406   246   419 0.62 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   3  11     0.032        89   -1.9  11.8   229   302   389   475   347   491 0.56 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   4  11  3.4e-187  9.5e-184  611.4  11.5   309   620   552   868   535   880 0.92 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   5  11   1.8e-14   4.8e-11   38.8   0.2   580   660   889   976   874   995 0.74 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   6  11  3.4e-146  9.5e-143  475.4  11.5   642   903  1089  1350  1074  1372 0.95 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   7  11   2.2e-69   6.1e-66  220.8   2.8   902  1033  1453  1601  1446  1607 0.92 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   8  11   3.4e-45   9.3e-42  140.6   6.2  1031  1155  1669  1809  1654  1818 0.88 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   9  11   2.8e-74   7.9e-71  237.0   7.5  1147  1280  2007  2141  1934  2166 0.88 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8  10  11     1e-11   2.8e-08   29.6   7.5  1282  1355  2283  2368  2273  2374 0.76 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8  11  11  1.2e-290  3.4e-287  954.4  38.4  1351  1789  2668  3106  2656  3111 0.99 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
