#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084580.1-p1      -           1677 1387at5820           -           1102         0 2115.7 115.6   1   5         0         0 1333.3  33.3     1   637    12   685    12   710 0.95 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1387at5820           -           1102         0 2115.7 115.6   2   5   4.9e-50   2.7e-47  159.4   4.9   628   718   844   934   778   943 0.91 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1387at5820           -           1102         0 2115.7 115.6   3   5  1.7e-192  9.4e-190  631.2  43.3   711  1061   989  1359   976  1381 0.94 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1387at5820           -           1102         0 2115.7 115.6   4   5     0.009         5    2.9   0.2  1052  1087  1471  1508  1457  1515 0.79 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1387at5820           -           1102         0 2115.7 115.6   5   5     5e-06    0.0028   13.7   0.7  1077  1102  1648  1673  1632  1673 0.89 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 1387at5820           -           1102     1e-53  180.7   8.9   1   2   1.9e-56     1e-53  180.7   8.9    83   439   845  1167   788  1179 0.89 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 1387at5820           -           1102     1e-53  180.7   8.9   2   2        10   5.5e+03  -10.7  17.4   914  1055  1331  1477  1275  1484 0.68 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095265.1-p1      -           1285 1387at5820           -           1102   6.3e-38  128.4   7.6   1   1   1.8e-40     1e-37  127.7   7.6    85   417   552   849   507   881 0.86 | transcript=PVX_095265.1 | gene=PVX_095265 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr08:943814-947671(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 1387at5820           -           1102   9.4e-37  124.5  42.4   1   4   8.1e-08   4.5e-05   19.6   0.3    79   140    60   121    18   125 0.81 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 1387at5820           -           1102   9.4e-37  124.5  42.4   2   4   2.7e-37   1.5e-34  117.2  16.5   170   485   225   530   215   555 0.83 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 1387at5820           -           1102   9.4e-37  124.5  42.4   3   4      0.33   1.8e+02   -2.3   7.5  1012  1093   818   898   792   907 0.67 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
