#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116650.1-p1      -           1185 2802at5820           -            850         0 1314.0  47.9   1   4  1.1e-249    2e-246  818.7  14.8     1   505     5   570     5   578 0.91 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 2802at5820           -            850         0 1314.0  47.9   2   4   1.4e-89   2.6e-86  289.0   4.7   517   693   653   832   632   838 0.91 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 2802at5820           -            850         0 1314.0  47.9   3   4     2e-70   3.6e-67  225.7   0.0   672   838   835  1034   833  1044 0.83 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 2802at5820           -            850         0 1314.0  47.9   4   4         3   5.5e+03  -11.3  12.0   246   270  1115  1139  1097  1166 0.53 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 2802at5820           -            850   5.8e-46  155.5  63.4   1   4    0.0025       4.5    3.7   0.1    25    90     9    78     5    82 0.64 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 2802at5820           -            850   5.8e-46  155.5  63.4   2   4   9.5e-09   1.8e-05   21.6   4.9   147   258    82   202    77   210 0.64 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 2802at5820           -            850   5.8e-46  155.5  63.4   3   4   1.4e-13   2.6e-10   37.6   1.9   298   379   212   297   201   321 0.81 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 2802at5820           -            850   5.8e-46  155.5  63.4   4   4     5e-34   9.2e-31  105.2  37.6   419   840   391   814   357   823 0.76 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 2802at5820           -            850   1.9e-18   64.5  35.6   1   4     0.025        47    0.4   0.0    62    86    34    58    15    79 0.79 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 2802at5820           -            850   1.9e-18   64.5  35.6   2   4      0.19   3.4e+02   -2.5   0.0   183   206    69    91    58    98 0.80 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 2802at5820           -            850   1.9e-18   64.5  35.6   3   4   2.7e-06    0.0051   13.5  17.6   217   379   170   375   156   405 0.62 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 2802at5820           -            850   1.9e-18   64.5  35.6   4   4   1.4e-18   2.7e-15   54.1   6.5   535   816   720   982   712  1009 0.84 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2802at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2802at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2802at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:56 2026
# [ok]
