#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099040.1-p1      -           1459 2732at5820           -           1490         0 2010.9   6.3   1   1         0         0 2007.3   6.3     1  1489     1  1458     1  1459 0.93 | transcript=PVX_099040.1 | gene=PVX_099040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:466666-471045(-) | protein_length=1459 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 2732at5820           -           1490   3.1e-28   96.3  30.5   1   4   4.2e-06    0.0038   13.1   0.4    79   115    61    97    56   115 0.88 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 2732at5820           -           1490   3.1e-28   96.3  30.5   2   4   1.6e-13   1.5e-10   37.7   0.0   285   500   493   718   470   807 0.71 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 2732at5820           -           1490   3.1e-28   96.3  30.5   3   4   3.9e-06    0.0036   13.2  11.3   852   969   909  1029   859  1080 0.81 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 2732at5820           -           1490   3.1e-28   96.3  30.5   4   4   1.4e-13   1.3e-10   37.9   2.0  1145  1378  1197  1395  1136  1420 0.76 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084280.1-p1      -            862 2732at5820           -           1490      0.65    5.7  10.2   1   2    0.0081       7.5    2.2   7.2   606   671    12    76     2   132 0.65 | transcript=PVX_084280.1 | gene=PVX_084280 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:141224-144171(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084280.1-p1      -            862 2732at5820           -           1490      0.65    5.7  10.2   2   2    0.0017       1.6    4.4   0.0  1054  1158   471   575   446   598 0.62 | transcript=PVX_084280.1 | gene=PVX_084280 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:141224-144171(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 2732at5820           -           1490      0.82    5.4  10.9   1   1   0.00096      0.89    5.3  10.9   548   625    52   132     8   134 0.69 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 2732at5820           -           1490      0.94    5.2  16.0   1   1    0.0014       1.3    4.7  16.0   482   639    68   239    64   269 0.50 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118540.1-p1      -            356 2732at5820           -           1490      0.99    5.1  16.8   1   1    0.0013       1.2    4.8  16.8   520   653    44   188    15   239 0.49 | transcript=PVX_118540.1 | gene=PVX_118540 | organism=Plasmodium_vivax_Sal-1 | gene_product=copper transporter, putative | transcript_product=copper transporter, putative | location=Pv_Sal1_chr12:2816415-2817650(-) | protein_length=356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2732at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2732at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2732at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:38 2026
# [ok]
