#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6   1  12  5.2e-119  2.9e-115  384.6  14.6     1   238    84   326    84   331 0.97 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6   2  12   3.4e-54   1.9e-50  169.9   2.7   240   357   394   518   391   526 0.91 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6   3  12   3.1e-11   1.7e-07   27.6   0.0   352   392   538   583   532   588 0.92 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6   4  12    0.0015       8.1    2.2   0.0   394   414   680   700   675   704 0.90 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6   5  12   0.00064       3.5    3.4   0.0   414   435   765   786   760   791 0.85 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6   6  12   1.1e-15   5.9e-12   42.4   0.3   426   477   815   866   808   884 0.90 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6   7  12   4.6e-10   2.6e-06   23.8   9.6   473   541   949  1043   945  1049 0.70 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6   8  12   3.3e-25   1.8e-21   73.9   0.1   539   607  1075  1146  1071  1161 0.87 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6   9  12   1.4e-26   7.6e-23   78.5   0.0   628   709  1242  1325  1206  1330 0.81 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6  10  12   1.3e-17     7e-14   48.8   0.4   709   764  1379  1442  1371  1461 0.82 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088215.1-p1      -           2080 848at5820            -           1220         0 1576.4  82.6  11  12  7.8e-115  4.3e-111  370.8   2.7   767  1007  1545  1802  1537  1806 0.91 | transcript=PVX_088215.1 | gene=PVX_088215 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:504413-510906(-) | protein_length=2080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
