#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118455.1-p1      -            763 6648at5820           -            520  5.2e-196  650.5  25.8   1   1  6.7e-196  6.2e-193  640.3  25.8     1   520     1   763     1   763 0.89 | transcript=PVX_118455.1 | gene=PVX_118455 | organism=Plasmodium_vivax_Sal-1 | gene_product=clathrin coat assembly protein AP50, putative | transcript_product=clathrin coat assembly protein AP50, putative | location=Pv_Sal1_chr12:2725349-2727640(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091610.1-p1      -            478 6648at5820           -            520     4e-12   43.7  13.4   1   3   4.3e-15     4e-12   43.7  13.4    52   259    56   281     5   325 0.77 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091610.1-p1      -            478 6648at5820           -            520     4e-12   43.7  13.4   2   3      0.12   1.1e+02   -0.6   0.3   376   433   357   414   290   426 0.57 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091610.1-p1      -            478 6648at5820           -            520     4e-12   43.7  13.4   3   3      0.16   1.5e+02   -1.1   0.4   473   513   429   470   359   477 0.60 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 6648at5820           -            520     7e-11   39.6  28.5   1   4     3e-08   2.8e-05   21.1  14.4     3   160     6   159     4   162 0.79 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 6648at5820           -            520     7e-11   39.6  28.5   2   4   3.9e-10   3.6e-07   27.4   0.1   184   251   155   223   148   231 0.89 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 6648at5820           -            520     7e-11   39.6  28.5   3   4     0.039        36    1.0   1.6   273   345   281   348   257   423 0.56 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 6648at5820           -            520     7e-11   39.6  28.5   4   4     0.096        89   -0.3   0.4   404   429   362   387   356   457 0.55 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 6648at5820           -            520   3.7e-09   33.9  80.6   1   3   6.6e-09   6.1e-06   23.3  53.8     1   248     2   304     2   308 0.76 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 6648at5820           -            520   3.7e-09   33.9  80.6   2   3     0.073        67    0.1   0.6   256   348   371   456   358   463 0.51 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 6648at5820           -            520   3.7e-09   33.9  80.6   3   3   2.8e-07   0.00025   18.0  12.6   385   511   466   603   451   609 0.80 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
